"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay"
"01000","1","52","54","0","2013","A","",17,154,11894235,0,0,1484,77194,"",1.63,0.79,0.69,0.00,0.00,0.87,0.87
"01000","2","52","54","0","2013","A","N",1,0,0,0,0,0,0,"N",0.98,0,0,0,0,0,0
"01000","3","52","54","0","2013","A","N",1,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0
"01000","5","52","54","0","2013","A","",7782,69666,4495687523,658229199,16307658,1241,64532,"",1.32,0.90,0.74,0.86,0.81,0.83,0.83
"01001","5","52","74","0","2013","A","",74,355,16954368,3374330,90680,919,47781,"",1.76,0.83,0.63,0.90,1.01,0.76,0.76
"01003","1","52","74","0","2013","A","",1,10,677683,0,0,1271,66115,"",2.12,1.51,1.50,0.00,0.00,0.97,0.97
"01003","3","52","74","0","2013","A","N",1,0,0,0,0,0,0,"N",10.76,0,0,0,0,0,0
"01003","5","52","74","0","2013","A","",365,1723,84832035,16306249,442684,947,49230,"",1.37,0.65,0.54,0.59,0.67,0.82,0.82
"01005","5","52","74","0","2013","A","",45,208,7875090,1752043,42209,728,37846,"",1.55,0.59,0.37,0.50,0.38,0.62,0.62
"01007","5","52","74","0","2013","A","",17,81,2730300,564897,10642,650,33812,"",0.99,0.46,0.23,0.34,0.20,0.51,0.51
"01009","5","52","74","0","2013","A","",46,239,9355408,1772293,32287,754,39199,"",1.26,0.70,0.48,0.59,0.45,0.69,0.69
"01011","5","52","74","0","2013","A","",7,46,1904582,384421,11957,791,41106,"",0.95,0.37,0.27,0.32,0.38,0.70,0.70
"01013","5","52","74","0","2013","A","",39,151,5015340,1334226,31890,641,33306,"",1.64,0.55,0.32,0.46,0.37,0.58,0.58
"01015","1","52","74","0","2013","A","",1,6,387250,0,0,1241,64542,"",4.52,1.29,1.09,0.00,0.00,0.85,0.85
"01015","5","52","74","0","2013","A","",183,937,43841299,8077333,192724,900,46797,"",1.47,0.51,0.35,0.50,0.42,0.70,0.70
"01017","5","52","74","0","2013","A","",28,151,5702832,1370288,33751,728,37872,"",0.95,0.44,0.28,0.44,0.49,0.63,0.64
"01019","5","52","74","0","2013","A","",30,121,4390884,971746,22874,698,36288,"",1.47,0.58,0.37,0.50,0.34,0.64,0.64
"01021","5","52","74","0","2013","A","",55,238,9460833,1971923,47080,764,39724,"",1.49,0.62,0.42,0.52,0.40,0.67,0.67
"01023","5","52","74","0","2013","A","",17,91,3102112,615357,13685,657,34183,"",1.15,0.61,0.24,0.41,0.43,0.40,0.40
"01025","5","52","74","0","2013","A","",64,363,15540642,3168553,67863,823,42772,"",1.89,1.07,0.67,1.01,1.02,0.63,0.63
"01027","5","52","74","0","2013","A","",11,86,3888055,695296,10888,866,45035,"",0.99,0.58,0.47,0.49,0.24,0.80,0.80
"01029","5","52","74","0","2013","A","",14,56,2129078,396051,9866,729,37906,"",1.35,0.58,0.32,0.48,0.33,0.55,0.55
"01031","5","52","74","0","2013","A","",77,368,16132354,3120864,75531,844,43868,"",1.48,0.59,0.45,0.49,0.51,0.77,0.76
"01033","5","52","74","0","2013","A","",92,728,30411691,6631014,115563,803,41750,"",1.41,0.76,0.44,0.70,0.47,0.57,0.57
"01035","5","52","74","0","2013","A","",11,42,1556173,312362,9453,717,37274,"",0.88,0.29,0.18,0.22,0.27,0.63,0.63
"01037","5","52","74","0","2013","A","N",4,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0
"01039","5","52","74","0","2013","A","",62,355,14905605,2881666,60764,807,41978,"",1.35,0.68,0.47,0.54,0.38,0.69,0.69
"01041","5","52","74","0","2013","A","",17,103,4019083,813121,19905,750,38989,"",1.36,0.67,0.43,0.46,0.35,0.63,0.63
"01043","1","52","74","0","2013","A","",1,5,339734,0,0,1285,66833,"",6.29,1.82,1.69,0.00,0.00,0.91,0.91
"01043","5","52","74","0","2013","A","",112,648,31382553,5715055,98166,932,48455,"",1.25,0.59,0.45,0.51,0.37,0.75,0.75
"01045","1","52","74","0","2013","A","",1,2,75256,0,0,827,43003,"",12.80,1.12,0.40,0.00,0.00,0.41,0.41
"01045","5","52","74","0","2013","A","",50,296,10870798,2418982,43329,707,36788,"",1.13,0.42,0.17,0.40,0.35,0.40,0.40
"01047","5","52","74","0","2013","A","",49,254,11615149,2202706,61358,879,45729,"",1.10,0.47,0.35,0.44,0.37,0.73,0.73
"01049","5","52","74","0","2013","A","",83,457,16457517,3727350,78631,692,35992,"",1.45,0.53,0.33,0.42,0.30,0.61,0.61
"01051","5","52","74","0","2013","A","",93,459,19754552,3854973,92280,828,43054,"",1.44,0.60,0.42,0.54,0.56,0.70,0.70
"01053","5","52","74","0","2013","A","",67,458,18800952,4156344,100177,789,41043,"",1.64,0.91,0.56,0.89,0.91,0.62,0.62
"01055","1","52","74","0","2013","A","",1,0,0,0,0,0,0,"",5.36,0.00,0.00,0.00,0.00,0.00,0.00
"01055","5","52","74","0","2013","A","",150,960,43682818,8306891,198110,875,45515,"",1.43,0.66,0.48,0.55,0.53,0.73,0.73
"01057","5","52","74","0","2013","A","",17,98,3809992,774038,23435,745,38746,"",1.01,0.61,0.43,0.60,0.64,0.70,0.70
"01059","5","52","74","0","2013","A","",48,370,13282703,3250098,66921,690,35891,"",1.67,0.90,0.56,0.80,0.60,0.62,0.62
"01061","5","52","74","0","2013","A","",29,168,6227939,1362087,27955,712,37034,"",1.21,0.83,0.57,0.66,0.58,0.69,0.69
"01063","5","52","74","0","2013","A","",4,25,1088099,201278,2207,851,44262,"",0.54,0.34,0.26,0.34,0.11,0.78,0.79
"01065","5","52","74","0","2013","A","",8,68,3012203,557844,6463,851,44243,"",0.59,0.60,0.43,0.59,0.31,0.71,0.71
"01067","5","52","74","0","2013","A","",17,94,3745517,797844,11376,769,39988,"",1.03,0.70,0.42,0.59,0.37,0.60,0.60
"01069","1","52","74","0","2013","A","",1,4,335999,0,0,1551,80640,"",3.87,0.81,0.88,0.00,0.00,1.04,1.04
"01069","5","52","74","0","2013","A","",196,1173,62464654,10489400,268677,1025,53275,"",1.34,0.60,0.47,0.54,0.59,0.78,0.78
"01071","5","52","74","0","2013","A","",61,374,14358917,3017113,65112,739,38427,"",1.25,0.56,0.35,0.46,0.30,0.63,0.63
"01073","1","52","74","0","2013","A","",1,7,537562,0,0,1477,76795,"",0.64,0.20,0.14,0.00,0.00,0.74,0.74
"01073","5","52","74","0","2013","A","",1353,21712,1734399171,213954396,5074867,1536,79882,"",1.53,1.53,1.34,1.49,1.40,0.87,0.87
"01075","5","52","74","0","2013","A","",14,116,4718979,953500,11327,785,40798,"",1.01,0.83,0.53,0.71,0.27,0.64,0.64
"01077","5","52","74","0","2013","A","",161,946,47528924,8212357,190484,966,50255,"",1.59,0.77,0.67,0.69,0.61,0.86,0.86
"01079","5","52","74","0","2013","A","",22,133,6119964,1025993,21208,885,46044,"",0.98,0.54,0.32,0.48,0.48,0.59,0.59
"01081","1","52","74","0","2013","A","",1,5,299201,0,0,1151,59840,"",4.13,0.91,0.76,0.00,0.00,0.83,0.83
"01081","5","52","74","0","2013","A","",164,988,51939426,9417084,219986,1011,52557,"",1.20,0.45,0.38,0.49,0.48,0.83,0.83
"01083","5","52","74","0","2013","A","",90,366,16204658,3025494,64437,851,44255,"",1.32,0.40,0.23,0.36,0.27,0.58,0.58
"01085","5","52","74","0","2013","A","N",5,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0
"01087","5","52","74","0","2013","A","",9,49,1742205,407950,11251,686,35677,"",0.75,0.23,0.11,0.32,0.30,0.49,0.49
"01089","1","52","74","0","2013","A","",1,12,736504,0,0,1214,63129,"",1.25,0.63,0.34,0.00,0.00,0.56,0.56
"01089","5","52","74","0","2013","A","",489,3598,220347361,32853192,726932,1178,61247,"",1.08,0.47,0.29,0.46,0.40,0.62,0.62
"01091","5","52","74","0","2013","A","",32,210,9699624,1764360,36640,889,46225,"",1.23,0.73,0.50,0.62,0.52,0.69,0.69
"01093","5","52","74","0","2013","A","",44,379,14443808,3180229,45697,734,38144,"",1.42,0.95,0.63,0.81,0.35,0.66,0.66
"01095","5","52","74","0","2013","A","",159,837,36881301,6812761,158246,847,44051,"",1.58,0.59,0.43,0.46,0.43,0.74,0.74
"01097","1","52","74","0","2013","A","",1,1,88436,0,0,1701,88436,"",1.17,0.06,0.06,0.00,0.00,0.99,0.99
"01097","5","52","74","0","2013","A","",687,5258,383493919,64451688,2483544,1403,72940,"",1.43,0.76,0.71,0.91,1.23,0.93,0.93
"01099","5","52","74","0","2013","A","",34,171,6609600,1411950,25979,742,38559,"",1.57,0.65,0.36,0.55,0.34,0.55,0.55
"01101","1","52","74","0","2013","A","",3,57,4588061,0,0,1562,81205,"",5.30,4.20,3.83,0.00,0.00,0.92,0.92
"01101","2","52","74","0","2013","A","N",1,0,0,0,0,0,0,"N",18.03,0,0,0,0,0,0
"01101","5","52","74","0","2013","A","",418,4158,293919462,39010305,816210,1359,70685,"",1.31,0.77,0.70,0.83,0.70,0.91,0.91
"01103","5","52","74","0","2013","A","",194,1397,66219817,10451026,244080,912,47407,"",1.41,0.72,0.46,0.52,0.44,0.64,0.64
"01105","5","52","74","0","2013","A","",6,54,2190022,421848,5418,787,40935,"",0.74,0.63,0.47,0.64,0.28,0.74,0.74
"01107","5","52","74","0","2013","A","N",16,0,0,0,0,0,0,"N",0.97,0,0,0,0,0,0
"01109","5","52","74","0","2013","A","",57,355,16466079,2968580,63839,892,46405,"",1.62,0.64,0.45,0.56,0.48,0.71,0.71
"01111","5","52","74","0","2013","A","",27,155,5802417,1254444,20563,718,37335,"",1.47,0.83,0.56,0.73,0.40,0.67,0.67
"01113","5","52","74","0","2013","A","",73,519,19793393,4917231,135833,733,38119,"",1.65,0.93,0.56,0.91,1.00,0.61,0.61
"01115","5","52","74","0","2013","A","",79,457,19710768,3883863,103801,830,43162,"",1.16,0.62,0.43,0.52,0.55,0.70,0.70
"01117","1","52","74","0","2013","A","",1,34,3102423,0,0,1781,92610,"",2.25,4.18,3.94,0.00,0.00,0.96,0.96
"01117","5","52","74","0","2013","A","",387,9685,672937444,86432945,1913242,1336,69485,"",1.55,3.00,2.45,2.41,2.18,0.81,0.81
"01119","5","52","74","0","2013","A","",11,63,2299193,457901,7489,700,36399,"",0.87,0.47,0.28,0.44,0.24,0.59,0.59
"01121","5","52","74","0","2013","A","",98,476,18517799,4268119,110815,748,38883,"",1.46,0.39,0.20,0.36,0.35,0.50,0.50
"01123","5","52","74","0","2013","A","",49,264,12010217,2147804,62583,875,45493,"",1.24,0.50,0.39,0.37,0.35,0.77,0.77
"01125","1","52","74","0","2013","A","",2,8,546595,0,0,1249,64942,"",5.25,0.88,0.68,0.00,0.00,0.73,0.73
"01125","5","52","74","0","2013","A","",270,2230,111894561,19392643,482213,965,50179,"",1.26,0.62,0.40,0.59,0.56,0.64,0.64
"01127","5","52","74","0","2013","A","",95,491,22521336,3936177,109691,882,45853,"",1.39,0.63,0.46,0.53,0.66,0.73,0.73
"01129","5","52","74","0","2013","A","N",13,0,0,0,0,0,0,"N",1.05,0,0,0,0,0,0
"01131","1","52","74","0","2013","A","",1,4,179531,0,0,921,47875,"",47.98,15.36,8.24,0.00,0.00,0.57,0.57
"01131","5","52","74","0","2013","A","N",8,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0
"01133","5","52","74","0","2013","A","",33,195,7224719,1570475,19265,712,37050,"",1.37,0.65,0.43,0.47,0.16,0.66,0.66
"01999","5","52","74","0","2013","A","",451,1781,134605033,20089512,613334,1453,75575,"",0.86,0.96,0.63,0.71,0.75,0.66,0.66
"02000","1","52","54","0","2013","A","",7,31,2620947,0,0,1635,85004,"",3.56,0.89,0.70,0.00,0.00,0.79,0.79
"02000","3","52","54","0","2013","A","N",1,0,0,0,0,0,0,"N",2.58,0,0,0,0,0,0
"02000","5","52","54","0","2013","A","",676,7023,411196361,243807612,7428201,1126,58547,"",0.61,0.51,0.31,0.57,0.57,0.62,0.62
"02016","5","52","74","0","2013","A","N",2,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0
"02020","1","52","74","0","2013","A","",1,3,349769,0,0,2018,104931,"",1.33,0.18,0.19,0.00,0.00,0.93,0.93
"02020","5","52","74","0","2013","A","",345,4703,298643152,170904860,5358981,1221,63497,"",0.82,0.73,0.47,0.82,0.86,0.64,0.64
"02050","1","52","74","0","2013","A","",1,1,96072,0,0,1848,96072,"",29.37,1.37,1.62,0.00,0.00,1.18,1.18
"02050","5","52","74","0","2013","A","N",4,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0
"02060","5","52","74","0","2013","A","N",1,0,0,0,0,0,0,"N",0.21,0,0,0,0,0,0
"02068","5","52","74","0","2013","A","N",1,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0
"02070","1","52","74","0","2013","A","",1,1,104354,0,0,2007,104354,"",70.45,3.59,4.58,0.00,0.00,1.28,1.27
"02070","5","52","74","0","2013","A","N",1,0,0,0,0,0,0,"N",0.12,0,0,0,0,0,0
"02090","1","52","74","0","2013","A","",1,1,59358,0,0,1142,59358,"",4.84,0.25,0.15,0.00,0.00,0.58,0.58
"02090","5","52","74","0","2013","A","",85,782,40234322,25221578,699239,990,51456,"",0.73,0.50,0.28,0.60,0.55,0.57,0.57
"02100","5","52","74","0","2013","A","",3,12,492465,303401,6770,795,41326,"",0.41,0.29,0.18,0.25,0.16,0.62,0.62
"02110","5","52","74","0","2013","A","",39,247,13451240,8596586,238793,1047,54458,"",0.71,0.33,0.20,0.51,0.47,0.60,0.60
"02122","1","52","74","0","2013","A","",1,2,141932,0,0,1365,70966,"",5.73,0.93,0.68,0.00,0.00,0.73,0.72
"02122","5","52","74","0","2013","A","",44,261,12308135,7844187,236929,909,47248,"",0.45,0.31,0.17,0.33,0.31,0.55,0.55
"02130","5","52","74","0","2013","A","",20,243,12623196,7861549,200877,1001,52037,"",0.64,0.79,0.51,0.98,0.76,0.65,0.65
"02150","5","52","74","0","2013","A","",12,75,3163116,2201727,66587,813,42269,"",0.49,0.28,0.15,0.27,0.24,0.54,0.54
"02164","5","52","74","0","2013","A","N",1,0,0,0,0,0,0,"N",0.16,0,0,0,0,0,0
"02170","1","52","74","0","2013","A","",1,21,1714237,0,0,1602,83283,"",5.69,9.41,9.42,0.00,0.00,1.02,1.02
"02170","5","52","74","0","2013","A","",63,446,18538254,13246704,399764,799,41535,"",0.64,0.50,0.29,0.54,0.53,0.58,0.58
