"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage"
"01000","1","54","54","0","2014","1","",38,1691,1685,1669,33184179,0,0,1518,"",2.22,1.93,1.94,1.92,2.26,0.00,0.00,1.17
"01000","2","54","54","0","2014","1","N",2,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0
"01000","3","54","54","0","2014","1","",15,470,467,474,5678712,1312847,21215,929,"",1.20,1.62,1.62,1.64,1.74,2.25,3.17,1.07
"01000","5","54","54","0","2014","1","",12421,94690,95324,95135,1625520638,680779522,15233540,1316,"",0.90,0.84,0.84,0.84,0.83,0.80,0.78,0.99
"01001","5","54","74","0","2014","1","",58,200,212,222,1796028,1241910,42370,654,"",0.60,0.31,0.33,0.34,0.20,0.33,0.55,0.62
"01003","5","54","74","0","2014","1","",508,1721,1761,1776,20147218,11099560,248798,884,"",0.81,0.46,0.46,0.45,0.40,0.41,0.43,0.89
"01005","1","54","74","0","2014","1","",1,6,6,6,117195,0,0,1503,"",12.00,1.53,1.54,1.56,2.30,0.00,0.00,1.49
"01005","5","54","74","0","2014","1","N",34,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0
"01007","5","54","74","0","2014","1","",19,63,62,64,431858,318065,4934,527,"",0.47,0.24,0.24,0.24,0.12,0.17,0.10,0.49
"01009","5","54","74","0","2014","1","",55,214,215,214,2276669,1324424,20036,817,"",0.65,0.45,0.44,0.44,0.37,0.42,0.29,0.83
"01011","5","54","74","0","2014","1","",6,19,19,19,195343,115979,1049,791,"",0.35,0.11,0.10,0.10,0.09,0.09,0.03,0.85
