afactor,puma2000,czone
1,10100,6200
1,10200,6000
1,10300,6000
1,10400,6100
.446,10500,6100
.42,10500,10700
.135,10500,10600
1,10600,6000
.158,10700,10501
.112,10700,10802
.235,10700,6200
.494,10700,10600
.621,10800,10700
.379,10800,10600
1,10901,10700
1,10902,10700
1,10903,10700
1,10904,10700
1,10905,10700
1,11000,6100
.61,11100,9500
.235,11100,9600
.155,11100,6600
1,11200,9600
1,11300,10700
1,11400,10801
.747,11500,10801
.252,11500,10802
.282,11600,9600
.305,11600,10700
.413,11600,9500
1,11700,9800
.254,11800,9701
.083,11800,10302
.183,11800,9800
.109,11800,11101
.148,11800,10301
.221,11800,11102
1,11900,11101
1,12000,11101
.081,12100,11101
.096,12100,10802
.464,12100,11002
.357,12100,11001
1,12200,11001
1,12300,11001
1,12400,11001
.649,12500,10302
.352,12500,11102
1,12600,10302
1,20101,34102
1,20102,34102
1,20200,34102
.21,20300,34109
.578,20300,34115
.065,20300,34103
.09,20300,34111
.056,20300,34110
.027,20400,34101
.054,20400,34114
.067,20400,34107
.091,20400,34106
.066,20400,34110
.061,20400,34111
.065,20400,34115
.073,20400,34113
.072,20400,34105
.138,20400,34108
.013,20400,34104
.229,20400,34112
.042,20400,34109
1,40101,35001
1,40102,35001
1,40103,35001
1,40104,35001
1,40105,35001
1,40106,35001
1,40107,35001
1,40108,35001
1,40109,35001
1,40110,35001
1,40111,35001
1,40112,35001
1,40113,35001
1,40114,35001
1,40115,35001
1,40116,35001
1,40117,35001
1,40118,35001
1,40119,35001
1,40120,35001
1,40121,35001
1,40122,35001
1,40201,35100
1,40202,35100
1,40203,35100
1,40204,35100
1,40205,35100
1,40206,35100
1,40207,35100
1,40300,35500
1,40400,35401
1,40500,35401
.887,40600,37901
.113,40600,38300
1,40700,38100
1,40800,35001
.212,40900,35002
.788,40900,35100
1,50100,30300
1,50200,30300
.098,50300,30300
.376,50300,25101
.525,50300,25103
.405,50400,25104
.505,50400,25105
.091,50400,25102
1,50500,25900
.505,50600,25800
.495,50600,5300
.774,50700,5300
.226,50700,25900
.174,50800,4301
.827,50800,4302
1,50900,4200
1,51000,4200
1,51100,4200
.763,51200,30000
.237,51200,4200
1,51300,30100
.354,51400,34002
.396,51400,30000
.141,51400,34001
.108,51400,30100
1,51500,34001
.136,51600,4200
.694,51600,4102
.171,51600,4301
.776,51700,4102
.224,51700,4101
.777,51800,4103
.223,51800,4001
.08,51900,4001
.503,51900,33500
.417,51900,34001
.761,60100,36501
.239,60100,36901
1,60200,36700
1,60300,36600
1,60400,37700
.395,60500,37300
.49,60500,36600
.114,60500,36700
1,60600,37300
.791,60700,37400
.21,60700,37603
1,60800,37300
1,60900,37400
1,61000,37800
1,61101,37700
1,61102,37700
1,61103,37700
1,61201,37800
1,61202,37800
1,61301,37800
1,61302,37800
1,61303,37800
1,61401,37400
1,61402,37400
1,61403,37400
1,61501,37400
1,61502,37400
1,61503,37400
1,61504,37400
1,61505,37400
1,61506,37400
1,61601,37400
1,61602,37400
1,61700,37400
.429,61800,37400
.4,61800,37000
.172,61800,37903
1,61901,37400
1,61902,37400
1,62001,37400
1,62002,37400
1,62101,37800
1,62102,37800
1,62103,37800
1,62104,37800
1,62105,37800
1,62106,37800
1,62107,37800
1,62108,37800
1,62201,37800
1,62202,37800
1,62203,37800
1,62204,37800
1,62205,37800
1,62206,37800
1,62207,37800
1,62301,37800
1,62302,37800
1,62303,37800
1,62304,37800
1,62305,37800
1,62306,37800
1,62401,37800
1,62402,37800
1,62403,37800
1,62404,37800
1,62405,37800
1,62406,37800
1,62407,37800
1,62408,37800
1,62409,37800
1,62410,37800
1,62500,37000
1,62601,37000
1,62602,37000
1,62701,37500
1,62702,37500
1,62703,37500
1,62704,37500
1,62705,37500
1,62706,37500
1,62707,37500
1,62708,37500
1,62709,37500
1,62710,37500
1,62711,37500
1,62712,37500
1,62713,37500
1,62714,37500
1,62801,37500
1,62802,37500
1,62900,37500
1,63001,37500
1,63002,37500
1,63100,37000
1,63200,37200
1,63301,37200
1,63302,37200
1,63401,37200
1,63402,37200
1,63501,37200
1,63502,37200
1,63503,37200
1,63600,37200
1,63701,38200
1,63702,38200
1,63800,37100
1,63901,37100
1,63902,37100
1,63903,37100
1,64000,38300
1,64100,38300
1,64200,38300
1,64300,38300
1,64401,38300
1,64402,38300
1,64403,38300
1,64404,38300
1,64405,38300
1,64406,38300
1,64407,38300
1,64500,38300
1,64600,38300
1,64700,38300
1,64800,38300
1,64900,38300
1,65000,38300
1,65100,38300
1,65200,38300
1,65300,38300
1,65401,38300
1,65402,38300
1,65403,38300
1,65404,38300
1,65405,38300
1,65406,38300
1,65407,38300
1,65408,38300
1,65409,38300
1,65410,38300
1,65411,38300
1,65412,38300
1,65413,38300
1,65414,38300
1,65415,38300
1,65416,38300
1,65417,38300
1,65418,38300
1,65419,38300
1,65420,38300
1,65421,38300
1,65422,38300
1,65423,38300
1,65424,38300
1,65500,38300
1,65600,38300
1,65701,38300
1,65702,38300
1,65703,38300
1,65800,38300
1,65900,38300
1,66000,38300
1,66101,38300
1,66102,38300
1,66103,38300
1,66104,38300
1,66105,38300
1,66106,38300
1,66107,38300
1,66108,38300
1,66109,38300
1,66110,38300
1,66111,38300
1,66112,38300
1,66113,38300
1,66114,38300
1,66115,38300
1,66116,38300
1,66117,38300
1,66118,38300
1,66119,38300
1,66120,38300
1,66121,38300
1,66122,38300
1,66123,38300
1,66124,38300
1,66125,38300
1,66126,38300
1,66200,38300
1,66300,38300
1,66400,38300
1,66500,38300
1,66601,38300
1,66602,38300
1,66701,38200
1,66702,38200
1,66801,38300
1,66802,38300
1,66900,38300
1,67000,38300
1,67100,38300
1,67200,38300
1,67300,38300
1,67400,38300
1,67501,38300
1,67502,38300
1,67601,38300
1,67602,38300
1,67603,38300
1,67604,38300
1,67605,38300
1,67606,38300
1,67607,38300
1,67700,38300
1,67801,38300
1,67802,38300
1,67900,38300
1,68001,38300
1,68002,38300
1,68003,38300
1,68004,38300
1,68005,38300
1,68101,38000
1,68102,38000
1,68103,38000
1,68104,38000
1,68105,38000
1,68106,38000
1,68107,38000
1,68108,38000
1,68109,38000
1,68110,38000
1,68111,38000
1,68112,38000
1,68113,38000
1,68114,38000
1,68115,38000
1,68116,38000
1,68200,38100
.389,80101,36401
.031,80101,35201
.127,80101,28800
.016,80101,28704
.438,80101,28702
1,80102,28800
1,80103,35201
1,80200,28800
1,80300,28800
.149,80400,28900
.299,80400,28301
.204,80400,28800
.089,80400,28504
.194,80400,28502
.046,80400,28402
.021,80400,28302
.276,80501,28502
.45,80501,34805
.229,80501,28503
.045,80501,28501
1,80502,28502
.368,80600,35300
.173,80600,35402
.459,80600,35201
.124,80700,35202
.007,80700,34805
.734,80700,28702
.104,80700,28703
.031,80700,35201
1,80801,28900
1,80802,28900
1,80803,28900
1,80804,28900
1,80805,28900
1,80806,28900
1,80807,28900
1,80808,28900
1,80809,28900
1,80810,28900
1,80811,28900
1,80812,28900
1,80813,28900
1,80814,28900
1,80815,28900
1,80816,28900
1,80817,28900
1,80818,28900
1,80819,28900
1,80820,28900
1,80821,28900
1,80822,28900
1,80901,28401
1,80902,28401
1,80903,28401
1,80904,28401
1,80905,28401
.161,81000,28701
.696,81000,28401
.144,81000,28900
1,90100,20901
1,90200,20901
1,90300,20901
1,90400,20901
1,90500,20901
1,90600,20901
1,90700,20901
1,90800,20901
1,90900,20901
1,91000,20901
1,91100,20901
1,91200,20901
1,91300,20901
1,91400,20901
1,91500,20901
1,91600,20901
1,91700,20901
1,91800,20901
1,91900,20901
1,92000,20901
1,92100,20901
1,92200,20901
1,92300,20901
1,92400,20901
1,92500,20901
1,100101,19800
1,100102,19800
1,100103,19800
1,100104,19800
1,100200,19901
1,100300,19901
1,110101,11304
1,110102,11304
1,110103,11304
1,110104,11304
1,110105,11304
1,120101,10900
1,120102,10900
1,120200,10900
1,120300,10900
.32,120400,10900
.679,120400,9900
1,120500,10000
.322,120600,7700
.207,120600,10000
.471,120600,9900
1,120701,9900
1,120702,9900
.531,120800,7900
.469,120800,7700
.335,120900,7900
.188,120900,7600
.478,120900,7700
1,121001,7900
1,121002,7900
1,121101,7600
1,121102,7600
1,121103,7600
1,121104,7600
1,121105,7600
1,121106,7600
1,121107,7600
1,121200,7600
1,121300,7600
1,121400,7500
1,121501,7800
1,121502,7800
.311,121600,7400
.689,121600,7800
1,121700,6700
1,121801,7400
1,121802,7400
1,121901,7500
1,121902,7500
1,121903,7500
1,122001,7400
1,122002,7400
1,122003,7400
1,122101,7300
1,122102,7300
1,122103,7300
1,122104,7300
1,122201,7400
1,122202,7400
1,122203,7400
1,122204,7400
1,122205,7400
1,122206,7400
1,122207,7400
1,122300,7400
1,122401,6800
1,122402,6800
1,122403,6800
1,122404,6800
1,122501,6700
1,122502,6700
1,122503,6700
1,122601,6700
1,122602,6700
1,122603,6700
1,122604,6700
1,122605,6700
1,122606,6700
1,122607,6700
1,122608,6700
1,122701,6700
1,122702,6700
1,122703,6700
1,122704,6700
1,122705,6700
1,122706,6700
1,122707,6700
1,122708,6700
1,122801,6900
1,122802,6900
1,122901,6900
1,122902,6900
1,123000,6900
.591,123100,6800
.242,123100,7100
.167,123100,6900
.759,123200,7300
.241,123200,7100
1,123300,7100
1,123400,7100
1,123501,7100
1,123502,7100
1,123503,7100
1,123504,7100
1,123505,7100
1,123506,7100
1,123507,7100
1,123508,7100
1,123509,7100
1,123601,7000
1,123602,7000
1,123603,7000
1,123604,7000
1,123605,7000
1,123606,7000
1,123607,7000
1,123608,7000
1,123609,7000
1,123610,7000
1,123611,7000
1,123612,7000
1,123613,7000
1,123701,7200
1,123702,7200
1,123800,7200
1,123901,7200
1,123902,7200
1,123903,7200
1,124001,7000
1,124002,7000
1,124003,7000
1,124004,7000
1,124005,7000
1,124006,7000
1,124007,7000
1,124008,7000
1,124009,7000
1,124010,7000
1,124011,7000
1,124012,7000
1,124013,7000
1,124014,7000
1,124015,7000
1,124016,7000
1,124017,7000
1,124018,7000
1,124019,7000
1,124020,7000
.999,130100,6401
1,130200,6600
.165,130300,1204
.475,130300,9400
.267,130300,6501
.093,130300,1201
.551,130400,9302
.449,130400,9400
1,130500,9301
1,130600,9400
.518,130700,9100
.482,130700,6600
.999,130800,9100
.568,130900,9100
.432,130900,9301
.309,131000,8900
.691,131000,9200
1,131101,9100
1,131102,9100
1,131103,9100
1,131104,9100
1,131105,9100
1,131106,9100
1,131107,9100
1,131201,9100
1,131202,9100
1,131203,9100
1,131204,9100
1,131205,9100
1,131206,9100
1,131301,9100
1,131302,9100
1,131303,9100
1,131304,9100
1,131305,9100
1,131401,9100
1,131402,9100
1,131501,9100
1,131502,9100
1,131503,9100
1,131504,9100
1,131505,9100
1,131600,9100
1,131700,9100
.514,131800,9100
.486,131800,9600
1,131900,9100
.373,132000,9600
.245,132000,9200
.382,132000,9100
.858,132100,6600
.143,132100,9600
.1,132200,9002
.204,132200,9302
.063,132200,8401
.126,132200,9301
