czone,cty_fips,cty_pop,cty_labf
11101,1001,34222,16729
11001,1003,98280,45624
10301,1005,25417,11186
10801,1007,16576,7199
10700,1009,39248,18538
9800,1011,11042,4090
11101,1013,21892,8783
9600,1015,116034,55865
9600,1017,36876,17595
6600,1019,19543,9137
10700,1021,32458,14549
10802,1023,16018,6424
11001,1025,27240,11170
9500,1027,13252,6127
9600,1029,12730,6104
10302,1031,40240,19691
6200,1033,51666,23798
11002,1035,14054,5785
9500,1037,11063,4871
11102,1039,36478,16283
11102,1041,13635,6051
10700,1043,67613,31837
10302,1045,49633,25468
10801,1047,48130,18828
6100,1049,54651,26121
11101,1051,49210,22224
11002,1053,35518,14940
6100,1055,99840,44211
10600,1057,17962,8156
6200,1059,27814,12409
10302,1061,23647,10960
10802,1063,10153,3642
10801,1065,15498,5865
10302,1067,15374,6922
10302,1069,81331,40180
6100,1071,47796,22925
10700,1073,651525,31122
10600,1075,15715,7418
6200,1077,79661,36909
6000,1079,31513,14638
9800,1081,87146,43256
6000,1083,54135,26057
11101,1085,12658,4788
9800,1087,24928,9971
6000,1089,238912,13015
10802,1091,23084,9528
10600,1093,29830,13540
6100,1095,70832,34003
11001,1097,378643,17160
11002,1099,23968,10330
11101,1101,209085,10319
6000,1103,100043,49040
10801,1105,12759,4608
10501,1107,20699,8405
11102,1109,27595,12582
9600,1111,19881,9155
9701,1113,46860,22023
10700,1115,50009,22946
10700,1117,99358,52122
10802,1119,16174,5964
9500,1121,74107,32687
9500,1123,38826,18603
10801,1125,150522,70347
10600,1127,67670,28780
11001,1129,16694,6689
11001,1131,13568,4298
10600,1133,22053,10201
34101,2013,2464,1452
34114,2016,9478,7011
34102,2020,226338,13028
34112,2050,13656,4831
34104,2060,1410,811
34107,2070,4012,1393
34115,2090,77720,42729
34109,2100,2117,1121
34109,2110,26751,15405
34102,2122,40802,19220
34111,2130,13828,7659
34108,2150,13309,7564
34107,2164,1668,535
34102,2170,39683,17971
34106,2180,8288,3292
34113,2185,5979,2964
34105,2188,6113,2130
34111,2201,6278,3077
34110,2220,8588,4841
34109,2231,4385,2344
34115,2240,5913,2767
34103,2261,9952,5399
34112,2270,5791,1879
34110,2280,7042,3651
34115,2290,8478,3624
35500,4001,61591,18383
35100,4003,97624,43156
35401,4005,96591,46250
35001,4007,40216,15231
35002,4009,26554,8829
35002,4011,8008,3098
38300,4012,13844,5646
35001,4013,2122101,10794
37901,4015,93497,39590
35500,4017,77658,27066
35100,4019,666880,32020
35001,4021,116379,44467
35100,4023,29676,12638
35401,4025,107714,43050
38100,4027,106895,46465
4301,5001,21653,9869
4101,5003,24319,10545
25101,5005,31186,11460
30300,5007,97499,46052
25103,5009,28297,13203
4102,5011,11793,4867
4103,5013,5826,2543
25103,5015,18654,8840
4102,5017,15713,5823
34001,5019,21437,9597
25900,5021,18107,7756
25104,5023,19411,8195
4102,5025,7781,3333
4001,5027,25691,11271
4200,5029,19151,8422
25900,5031,68956,34662
30100,5033,42493,19341
5300,5035,49939,22185
5300,5037,19225,8162
4103,5039,9614,4037
4102,5041,16798,6553
4102,5043,17369,8059
4200,5045,60006,30027
30000,5047,14897,6633
25102,5049,10037,3879
34001,5051,73397,31181
4200,5053,13948,6640
25900,5055,31804,14971
34001,5057,21621,9568
34001,5059,26115,11284
34001,5061,13569,6263
25105,5063,31192,14629
25105,5065,11364,4313
4302,5067,18944,7939
4102,5069,85487,37160
30000,5071,18221,7845
