"state","puma12","puma2k","stab","PUMAname","PUMA2kName","hus10","afact","AFACT2"
"FIPS state","puma12","puma2k","State Postal Code","PUMA12 Name","PUMA 2K Name","Total HUs, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","00101","02401","CA","Alameda County (North)--Berkeley & Albany Cities","0602401",57343,1,1 
"06","00102","02402","CA","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities","0602402",78316,1,1 
"06","00103","02403","CA","Alameda County (Northeast)--Oakland (East) & Piedmont Cities","0602403",58222,1,1 
"06","00103","02406","CA","Alameda County (Northeast)--Oakland (East) & Piedmont Cities","0602406",4,0,0 
"06","00104","02404","CA","Alameda County (North Central)--Oakland City (South Central)","0602404",42658,1,1 
"06","00104","02405","CA","Alameda County (North Central)--Oakland City (South Central)","0602405",12,0,0 
"06","00105","02404","CA","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities","0602404",1,0,0 
"06","00105","02405","CA","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities","0602405",66306,1,1 
"06","00106","02406","CA","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland","0602406",49314,1,1 
"06","00107","02407","CA","Alameda County (Central)--Hayward City","0602407",48013,1,1 
"06","00108","02408","CA","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities","0602408",42335,1,1 
"06","00109","02409","CA","Alameda County (South Central)--Fremont City (East)","0602409",65977,1,1 
"06","00110","02410","CA","Alameda County (East)--Livermore, Pleasanton & Dublin Cities","0602410",74048,1,1 
"06","00300","01700","CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties","0601700",2,0,0 
"06","00300","01800","CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties","0601800",112537,1,1 
"06","00701","00600","CA","Butte County (Northwest)--Chico City","0600600",47948,1,0.5 
"06","00702","00600","CA","Butte County (Southeast)--Oroville City & Paradise Town","0600600",47887,1,0.5 
"06","01100","00500","CA","Colusa, Glenn, Tehama & Trinity Counties","0600500",54329,1,1 
"06","01301","02101","CA","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities","0602101",41591,1,0.868 
"06","01301","02102","CA","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities","0602102",4,0,0 
"06","01302","02101","CA","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites","0602101",6314,0.135,0.132 
"06","01302","02102","CA","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites","0602102",40535,0.865,0.852 
"06","01303","02102","CA","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities","0602102",7014,0.134,0.147 
"06","01303","02103","CA","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities","0602103",37234,0.711,0.836 
"06","01303","02106","CA","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities","0602106",8085,0.154,0.165 
"06","01304","02103","CA","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town","0602103",56,0.001,0.001 
"06","01304","02104","CA","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town","0602104",45235,0.872,0.682 
"06","01304","02105","CA","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town","0602105",6582,0.127,0.126 
"06","01305","02105","CA","Contra Costa County (South)--San Ramon City & Danville Town","0602105",45690,1,0.874 
"06","01306","02103","CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities","0602103",6032,0.128,0.136 
"06","01306","02104","CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities","0602104",21054,0.447,0.318 
"06","01306","02106","CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities","0602106",20000,0.425,0.408 
"06","01307","02103","CA","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities","0602103",1194,0.029,0.027 
"06","01307","02106","CA","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities","0602106",15506,0.372,0.316 
"06","01307","02107","CA","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities","0602107",25030,0.6,0.664 
"06","01308","02106","CA","Contra Costa County (Northeast)--Antioch City","0602106",5427,0.149,0.111 
"06","01308","02107","CA","Contra Costa County (Northeast)--Antioch City","0602107",12653,0.347,0.336 
"06","01308","02108","CA","Contra Costa County (Northeast)--Antioch City","0602108",18342,0.504,0.333 
"06","01309","02108","CA","Contra Costa County (East)--Brentwood & Oakley Cities","0602108",36685,1,0.667 
"06","01500","00100","CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties","0600100",52998,0.773,1 
"06","01500","00700","CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties","0600700",15566,0.227,0.221 
"06","01700","01700","CA","El Dorado County--El Dorado Hills","0601700",88159,1,0.996 
"06","01901","03301","CA","Fresno County (West)--Selma, Kerman & Coalinga Cities","0603301",13,0,0 
"06","01901","03401","CA","Fresno County (West)--Selma, Kerman & Coalinga Cities","0603401",40624,1,0.874 
"06","01902","03302","CA","Fresno County (North Central)--Fresno City (North)","0603302",60452,0.87,1 
"06","01902","03401","CA","Fresno County (North Central)--Fresno City (North)","0603401",807,0.012,0.017 
"06","01902","03402","CA","Fresno County (North Central)--Fresno City (North)","0603402",8201,0.118,0.079 
"06","01903","03301","CA","Fresno County (Central)--Fresno City (East Central)","0603301",28516,0.834,0.271 
"06","01903","03402","CA","Fresno County (Central)--Fresno City (East Central)","0603402",5686,0.166,0.055 
"06","01904","03301","CA","Fresno County (Central)--Fresno City (Southwest)","0603301",49991,0.874,0.475 
"06","01904","03401","CA","Fresno County (Central)--Fresno City (Southwest)","0603401",4914,0.086,0.106 
"06","01904","03402","CA","Fresno County (Central)--Fresno City (Southwest)","0603402",2297,0.04,0.022 
"06","01905","03301","CA","Fresno County (Central)--Fresno City (Southeast)","0603301",26458,0.843,0.251 
"06","01905","03402","CA","Fresno County (Central)--Fresno City (Southeast)","0603402",4942,0.157,0.048 
"06","01906","03301","CA","Fresno County (Central)--Clovis City","0603301",344,0.009,0.003 
"06","01906","03402","CA","Fresno County (Central)--Clovis City","0603402",37492,0.991,0.363 
"06","01907","03402","CA","Fresno County (East)--Sanger, Reedley & Parlier Cities","0603402",44794,1,0.433 
"06","02300","00200","CA","Humboldt County","0600200",61559,1,1 
"06","02500","08200","CA","Imperial County--El Centro City","0608200",56067,1,1 
"06","02901","03800","CA","Kern County (West)--Delano, Wasco & Shafter Cities","0603800",3344,0.064,0.029 
"06","02901","03901","CA","Kern County (West)--Delano, Wasco & Shafter Cities","0603901",39527,0.762,1 
"06","02901","03903","CA","Kern County (West)--Delano, Wasco & Shafter Cities","0603903",9023,0.174,0.148 
"06","02902","03800","CA","Kern County (Central)--Bakersfield City (West)","0603800",62392,0.872,0.54 
"06","02902","03903","CA","Kern County (Central)--Bakersfield City (West)","0603903",9126,0.128,0.149 
"06","02903","03800","CA","Kern County (Central)--Bakersfield City (Northeast)","0603800",32805,0.621,0.284 
"06","02903","03903","CA","Kern County (Central)--Bakersfield City (Northeast)","0603903",20051,0.379,0.328 
"06","02904","03800","CA","Kern County (Central)--Bakersfield City (Southeast)","0603800",16881,0.544,0.146 
"06","02904","03902","CA","Kern County (Central)--Bakersfield City (Southeast)","0603902",5180,0.167,0.076 
"06","02904","03903","CA","Kern County (Central)--Bakersfield City (Southeast)","0603903",8942,0.288,0.146 
