"state","puma12","puma2k","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma12","puma2k","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","01500","00100",-122.179982,41.274095,118091,0.855124,1 
"06","02300","00200",-124.087225,40.752982,134623,1,1 
"06","08900","00300",-122.299786,40.580269,177223,1,1 
"06","03300","00400",-123.116475,39.15305,152506,1,1 
"06","01100","00500",-122.279898,39.914522,126790,1,1 
"06","00701","00600",-121.835513,39.74616,111389,1,0.506299 
"06","00702","00600",-121.576785,39.589943,108611,1,0.493673 
"06","10100","00600",-121.336979,39.463712,6,0.000036,0.000027 
"06","01500","00700",-120.826471,39.983857,20007,0.144875,0.163977 
"06","05700","00700",-120.900318,39.23201,102004,1,0.836023 
"06","10100","00800",-121.584735,39.136923,166886,0.999964,1 
"06","11300","00900",-121.72116,38.598913,200849,1,1 
"06","05500","01000",-122.321752,38.329076,136484,1,1 
"06","09701","01101",-122.762773,38.467484,179083,1,1 
"06","09702","01102",-122.659602,38.289656,120153,1,1 
"06","09703","01103",-122.719553,38.443251,184642,1,1 
"06","04101","01201",-122.57991,38.057472,104847,1,1 
"06","04102","01202",-122.523799,37.936424,147562,1,1 
"06","09501","01301",-122.218669,38.105252,144838,1,1 
"06","09502","01302",-122.042983,38.256297,138815,1,1 
"06","09503","01303",-121.9302,38.358962,129691,1,1 
"06","06705","01401",-121.507264,38.640506,103525,0.993112,0.553657 
"06","06706","01401",-121.44659,38.635356,51092,0.43805,0.273242 
"06","06707","01401",-121.485155,38.575537,32367,0.284675,0.1731 
"06","06703","01402",-121.365105,38.643081,58,0.00053,0.000551 
"06","06704","01402",-121.384096,38.638684,38,0.000317,0.000361 
"06","06707","01402",-121.427311,38.572623,41388,0.364017,0.393392 
"06","06708","01402",-121.437582,38.532023,63724,0.478919,0.605695 
"06","06707","01403",-121.49596,38.541466,31457,0.276671,0.180475 
"06","06708","01403",-121.465774,38.50531,3903,0.029333,0.022392 
"06","06709","01403",-121.480877,38.48234,137826,1,0.790735 
"06","06710","01403",-121.433565,38.440617,1082,0.007088,0.006208 
"06","06711","01403",-121.50009,38.45899,33,0.00031,0.000189 
"06","06704","01501",-121.360467,38.679253,76750,0.641197,0.536672 
"06","06705","01501",-121.56488,38.651629,718,0.006888,0.005021 
"06","06706","01501",-121.389424,38.710041,65543,0.561949,0.458307 
"06","06701","01502",-121.288574,38.690659,105079,1,1 
"06","06702","01503",-121.239617,38.587831,15622,0.140906,0.092819 
"06","06703","01503",-121.296461,38.644255,44470,0.406601,0.264221 
"06","06712","01503",-121.172583,38.673656,108214,0.991243,0.64296 
"06","06702","01504",-121.321221,38.585652,49587,0.447262,0.299032 
"06","06703","01504",-121.354532,38.616816,64842,0.592868,0.391026 
"06","06704","01504",-121.400848,38.601187,42910,0.358485,0.258767 
"06","06707","01504",-121.404041,38.589481,8486,0.074636,0.051174 
"06","06708","01505",-121.434329,38.502149,63712,0.478829,0.347259 
