czone,czonename
36600,"Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
36700,"Eureka-Arcata-Fortuna, CA Micro "
37000,"Merced, Modesto Metro PLUS"
37100,"Bakersfield, CA Metro "
37200,"Fresno, CA Metro PLUS"
37300,"Yuba City-Marysville, CA PLUS "
37400,"Sacramento--Arden-Arcade--Roseville, CA Metro "
37500,"San Jose-Sunnyvale-Santa Clara, CA Metro "
37700,"Santa Rosa-Petaluma, CA Metro "
37800,"San Francisco-San Mateo-Redwood City, CA Metro Division"
38000,"San Diego-Carlsbad-San Marcos, CA Metro "
38100,"Yuma, AZ Metro El Centro Metro"
38200,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
38300,"Los Angeles-Long Beach-Glendale, CA Metro Division"
,
