code,XHPIN1_CA001,XHPIN1_CA003,XHPIN1_CA005,XHPIN1_CA007,XHPIN1_CA009,XHPIN1_CA011,XHPIN1_CA013,XHPIN1_CA015,XHPIN1_CA017,XHPIN1_CA019,XHPIN1_CA021,XHPIN1_CA023,XHPIN1_CA025,XHPIN1_CA027,XHPIN1_CA029,XHPIN1_CA031,XHPIN1_CA033,XHPIN1_CA035,XHPIN1_CA037,XHPIN1_CA039,XHPIN1_CA041,XHPIN1_CA043,XHPIN1_CA045,XHPIN1_CA047,XHPIN1_CA049,XHPIN1_CA051,XHPIN1_CA053,XHPIN1_CA055,XHPIN1_CA057,XHPIN1_CA059,XHPIN1_CA061,XHPIN1_CA063,XHPIN1_CA065,XHPIN1_CA067,XHPIN1_CA069,XHPIN1_CA071,XHPIN1_CA073,XHPIN1_CA075,XHPIN1_CA077,XHPIN1_CA079,XHPIN1_CA081,XHPIN1_CA083,XHPIN1_CA085,XHPIN1_CA087,XHPIN1_CA089,XHPIN1_CA091,XHPIN1_CA093,XHPIN1_CA095,XHPIN1_CA097,XHPIN1_CA099,XHPIN1_CA101,XHPIN1_CA103,XHPIN1_CA105,XHPIN1_CA107,XHPIN1_CA109,XHPIN1_CA111,XHPIN1_CA113,XHPIN1_CA115,XHPIN2_CA001,XHPIN2_CA003,XHPIN2_CA005,XHPIN2_CA007,XHPIN2_CA009,XHPIN2_CA011,XHPIN2_CA013,XHPIN2_CA015,XHPIN2_CA017,XHPIN2_CA019,XHPIN2_CA021,XHPIN2_CA023,XHPIN2_CA025,XHPIN2_CA027,XHPIN2_CA029,XHPIN2_CA031,XHPIN2_CA033,XHPIN2_CA035,XHPIN2_CA037,XHPIN2_CA039,XHPIN2_CA041,XHPIN2_CA043,XHPIN2_CA045,XHPIN2_CA047,XHPIN2_CA049,XHPIN2_CA051,XHPIN2_CA053,XHPIN2_CA055,XHPIN2_CA057,XHPIN2_CA059,XHPIN2_CA061,XHPIN2_CA063,XHPIN2_CA065,XHPIN2_CA067,XHPIN2_CA069,XHPIN2_CA071,XHPIN2_CA073,XHPIN2_CA075,XHPIN2_CA077,XHPIN2_CA079,XHPIN2_CA081,XHPIN2_CA083,XHPIN2_CA085,XHPIN2_CA087,XHPIN2_CA089,XHPIN2_CA091,XHPIN2_CA093,XHPIN2_CA095,XHPIN2_CA097,XHPIN2_CA099,XHPIN2_CA101,XHPIN2_CA103,XHPIN2_CA105,XHPIN2_CA107,XHPIN2_CA109,XHPIN2_CA111,XHPIN2_CA113,XHPIN2_CA115,XHPIN3_CA001,XHPIN3_CA003,XHPIN3_CA005,XHPIN3_CA007,XHPIN3_CA009,XHPIN3_CA011,XHPIN3_CA013,XHPIN3_CA015,XHPIN3_CA017,XHPIN3_CA019,XHPIN3_CA021,XHPIN3_CA023,XHPIN3_CA025,XHPIN3_CA027,XHPIN3_CA029,XHPIN3_CA031,XHPIN3_CA033,XHPIN3_CA035,XHPIN3_CA037,XHPIN3_CA039,XHPIN3_CA041,XHPIN3_CA043,XHPIN3_CA045,XHPIN3_CA047,XHPIN3_CA049,XHPIN3_CA051,XHPIN3_CA053,XHPIN3_CA055,XHPIN3_CA057,XHPIN3_CA059,XHPIN3_CA061,XHPIN3_CA063,XHPIN3_CA065,XHPIN3_CA067,XHPIN3_CA069,XHPIN3_CA071,XHPIN3_CA073,XHPIN3_CA075,XHPIN3_CA077,XHPIN3_CA079,XHPIN3_CA081,XHPIN3_CA083,XHPIN3_CA085,XHPIN3_CA087,XHPIN3_CA089,XHPIN3_CA091,XHPIN3_CA093,XHPIN3_CA095,XHPIN3_CA097,XHPIN3_CA099,XHPIN3_CA101,XHPIN3_CA103,XHPIN3_CA105,XHPIN3_CA107,XHPIN3_CA109,XHPIN3_CA111,XHPIN3_CA113,XHPIN3_CA115,XHPIN5_CA001,XHPIN5_CA003,XHPIN5_CA005,XHPIN5_CA007,XHPIN5_CA009,XHPIN5_CA011,XHPIN5_CA013,XHPIN5_CA015,XHPIN5_CA017,XHPIN5_CA019,XHPIN5_CA021,XHPIN5_CA023,XHPIN5_CA025,XHPIN5_CA027,XHPIN5_CA029,XHPIN5_CA031,XHPIN5_CA033,XHPIN5_CA035,XHPIN5_CA037,XHPIN5_CA039,XHPIN5_CA041,XHPIN5_CA043,XHPIN5_CA045,XHPIN5_CA047,XHPIN5_CA049,XHPIN5_CA051,XHPIN5_CA053,XHPIN5_CA055,XHPIN5_CA057,XHPIN5_CA059,XHPIN5_CA061,XHPIN5_CA063,XHPIN5_CA065,XHPIN5_CA067,XHPIN5_CA069,XHPIN5_CA071,XHPIN5_CA073,XHPIN5_CA075,XHPIN5_CA077,XHPIN5_CA079,XHPIN5_CA081,XHPIN5_CA083,XHPIN5_CA085,XHPIN5_CA087,XHPIN5_CA089,XHPIN5_CA091,XHPIN5_CA093,XHPIN5_CA095,XHPIN5_CA097,XHPIN5_CA099,XHPIN5_CA101,XHPIN5_CA103,XHPIN5_CA105,XHPIN5_CA107,XHPIN5_CA109,XHPIN5_CA111,XHPIN5_CA113,XHPIN5_CA115,XHPIN4_CA001,XHPIN4_CA003,XHPIN4_CA005,XHPIN4_CA007,XHPIN4_CA009,XHPIN4_CA011,XHPIN4_CA013,XHPIN4_CA015,XHPIN4_CA017,XHPIN4_CA019,XHPIN4_CA021,XHPIN4_CA023,XHPIN4_CA025,XHPIN4_CA027,XHPIN4_CA029,XHPIN4_CA031,XHPIN4_CA033,XHPIN4_CA035,XHPIN4_CA037,XHPIN4_CA039,XHPIN4_CA041,XHPIN4_CA043,XHPIN4_CA045,XHPIN4_CA047,XHPIN4_CA049,XHPIN4_CA051,XHPIN4_CA053,XHPIN4_CA055,XHPIN4_CA057,XHPIN4_CA059,XHPIN4_CA061,XHPIN4_CA063,XHPIN4_CA065,XHPIN4_CA067,XHPIN4_CA069,XHPIN4_CA071,XHPIN4_CA073,XHPIN4_CA075,XHPIN4_CA077,XHPIN4_CA079,XHPIN4_CA081,XHPIN4_CA083,XHPIN4_CA085,XHPIN4_CA087,XHPIN4_CA089,XHPIN4_CA091,XHPIN4_CA093,XHPIN4_CA095,XHPIN4_CA097,XHPIN4_CA099,XHPIN4_CA101,XHPIN4_CA103,XHPIN4_CA105,XHPIN4_CA107,XHPIN4_CA109,XHPIN4_CA111,XHPIN4_CA113,XHPIN4_CA115
1/31/1988,198,1,15,72,25,2,162,1,125,209,1,19,25,1,148,11,9,4,980,35,28,6,15,106,1,9,45,25,54,673,184,3,1781,358,25,1918,821,10,177,135,50,43,314,69,34,0,13,148,192,226,10,7,1,83,22,181,32,10,10,0,0,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,104,2,4,0,0,6,0,0,4,0,0,16,0,0,4,2,0,44,24,10,2,8,2,4,2,0,0,0,0,0,2,12,0,0,0,2,0,2,0,4,14,0,0,0,0,0,0,0,0,68,0,0,0,0,4,0,0,0,158,0,0,0,0,49,0,0,3,0,0,35,0,0,11,0,0,4,15,16,3,10,0,3,21,0,0,0,0,0,4,11,0,0,18,47,0,8,0,0,14,0,0,0,0,0,8,0,17,120,0,0,5,0,32,0,0,0,1925,0,0,0,0,56,0,10,5,0,0,332,0,0,68,296,0,336,135,53,0,0,54,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,6,0,0,68,0,2,0,0,4,0,0,0,262,2,4,0,0,55,0,0,7,0,0,51,0,0,15,2,0,48,39,26,5,18,2,7,23,0,0,0,0,0,6,23,0,0,18,49,0,10,0,4
2/29/1988,336,0,19,218,48,6,244,1,106,264,2,54,10,1,212,13,18,3,1322,57,43,8,13,59,1,8,71,13,76,530,184,5,1571,403,27,856,544,10,184,220,98,77,220,62,71,1,33,213,170,269,12,8,0,147,42,387,114,12,10,0,2,0,0,0,2,0,0,18,0,0,0,0,6,2,0,0,90,2,0,0,0,2,0,0,0,2,4,22,0,0,12,6,0,6,16,20,2,2,10,2,2,2,0,0,0,8,8,22,0,0,0,2,0,8,0,2,11,0,0,44,0,0,14,0,3,26,0,4,11,0,28,0,3,0,220,16,0,0,0,36,0,6,7,0,0,64,0,0,57,28,0,18,52,7,3,0,54,0,0,0,0,0,16,0,0,10,0,0,0,0,0,68,0,0,311,0,0,0,0,0,68,0,0,80,0,10,11,0,48,0,0,0,2265,6,0,0,0,0,0,5,28,6,0,343,0,0,578,90,0,671,550,40,0,0,66,0,14,0,0,0,0,0,40,5,0,0,0,32,5,31,6,16,21,0,2,44,0,0,16,0,3,44,0,4,11,0,34,2,3,0,310,18,0,0,0,38,0,6,7,2,4,86,0,0,69,34,0,24,68,27,5,2,64,2,2,2,0,0,16,8,8,32,0,0,0,2,0,76,0,2
3/31/1988,279,1,22,50,55,6,512,5,190,296,0,41,27,3,269,14,23,12,1591,38,51,9,27,144,0,9,80,50,102,1124,334,19,2292,757,27,1024,1221,9,307,201,111,142,450,51,84,1,6,540,266,407,22,18,3,229,51,440,50,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,2,2,2,0,0,10,2,2,46,0,0,32,12,0,8,94,20,0,14,0,10,4,2,0,0,0,0,8,22,0,0,0,22,2,4,2,2,11,0,0,0,0,0,4,0,42,14,0,4,3,0,24,0,0,4,264,0,0,0,0,23,0,6,6,4,0,79,0,0,63,35,0,12,169,4,0,17,0,12,9,0,0,0,0,0,4,9,0,0,0,0,0,7,0,11,48,0,0,0,0,0,158,0,0,0,0,0,0,0,12,0,0,0,2095,16,0,0,0,29,0,5,23,9,64,774,0,0,64,180,0,544,1267,74,0,0,6,0,92,32,0,0,0,0,153,0,0,5,0,0,0,8,0,16,21,0,0,0,0,0,4,0,42,14,0,4,3,0,24,0,0,4,376,0,0,2,2,25,0,6,16,6,2,125,0,0,95,47,0,20,263,24,0,31,0,22,13,2,0,0,0,0,12,31,0,0,0,22,2,11,2,13
4/30/1988,336,2,18,63,40,5,664,4,191,268,7,42,27,4,239,22,23,14,1471,48,57,11,36,63,1,9,68,126,84,988,260,44,2388,624,26,1255,1070,5,420,132,144,101,272,101,86,2,14,349,295,329,17,14,2,113,69,255,72,8,4,0,2,2,0,0,20,0,0,2,0,0,2,0,6,0,0,0,114,24,0,0,0,8,0,0,6,4,0,34,0,0,22,2,0,6,32,8,0,2,14,4,4,0,15,0,0,2,4,14,0,0,0,0,0,2,14,0,7,0,0,0,0,0,0,0,0,31,0,8,0,0,20,0,0,0,161,0,0,0,0,4,0,4,15,0,0,215,0,0,101,0,8,40,45,13,0,22,4,0,19,6,8,0,3,24,0,28,0,0,0,3,4,0,0,0,68,0,0,0,0,0,48,0,202,0,0,0,27,0,16,0,0,0,2076,0,86,0,12,0,0,10,21,0,0,2105,274,0,300,94,0,204,1542,232,75,0,65,0,713,0,0,0,0,402,225,120,0,5,0,0,0,21,0,0,11,0,2,2,0,0,20,0,0,33,0,8,2,0,26,0,0,0,275,24,0,0,0,12,0,4,21,4,0,249,0,0,123,2,8,46,77,21,0,24,18,4,23,6,23,0,3,26,4,42,0,0,0,3,4,2,14,0
5/31/1988,328,1,39,90,55,5,530,7,171,274,9,54,87,3,258,33,31,20,1933,49,44,13,35,63,0,13,126,24,240,1689,369,16,2483,727,47,1186,1203,7,187,200,93,98,361,73,87,2,20,427,400,490,19,13,8,77,55,342,22,12,2,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,0,0,108,0,0,0,4,8,0,0,2,0,2,72,0,0,20,52,0,10,30,6,4,8,14,2,12,0,0,0,0,0,2,0,0,0,0,0,0,30,6,2,16,0,0,3,8,0,10,0,0,12,0,3,0,0,0,0,0,3,279,0,0,0,0,0,0,0,11,0,0,111,0,0,234,3,0,38,158,25,6,10,3,6,16,0,4,0,4,0,7,0,0,0,0,12,0,27,0,0,159,0,0,20,31,0,185,0,0,10,0,16,0,0,8,0,0,0,2523,0,0,0,0,0,0,11,10,74,0,905,0,0,248,195,0,133,618,273,75,0,0,0,209,135,0,0,0,48,0,0,0,0,0,0,0,11,0,0,18,0,0,3,8,0,12,0,0,18,0,3,0,0,2,0,0,3,387,0,0,0,4,8,0,0,13,0,2,183,0,0,254,55,0,48,188,31,10,18,17,8,28,0,4,0,4,0,9,0,0,0,0,12,0,57,6,2
6/30/1988,489,2,35,118,58,6,797,7,205,474,3,42,40,2,315,40,31,13,1557,59,54,13,42,58,0,13,89,152,96,2305,235,13,2586,697,58,1494,1512,23,285,240,127,106,410,78,129,2,12,521,547,425,52,13,7,117,44,221,136,8,10,0,2,0,0,0,4,2,0,2,0,0,6,0,2,0,0,0,134,0,16,0,0,8,0,0,2,0,2,16,0,0,38,8,0,4,12,16,0,2,0,4,4,8,0,0,0,6,10,2,14,0,0,2,0,10,0,2,26,0,0,0,0,0,19,0,0,11,0,0,0,0,4,0,8,0,135,0,4,0,0,16,0,4,0,0,0,151,4,0,18,12,0,77,139,19,10,3,20,0,59,0,4,0,0,0,0,4,0,0,0,16,4,0,0,0,301,0,0,0,6,0,88,12,0,228,0,72,0,0,6,0,32,0,2163,14,24,0,0,0,0,0,112,0,0,1569,262,0,230,488,0,361,877,182,75,0,64,0,310,0,0,0,0,28,0,0,20,5,0,10,5,253,0,44,36,0,2,0,0,0,23,2,0,13,0,0,6,0,6,0,8,0,269,0,20,0,0,24,0,4,2,0,2,167,4,0,56,20,0,81,151,35,10,5,20,4,63,8,4,0,0,6,10,6,14,0,0,18,4,10,0,2
7/31/1988,376,4,20,110,56,3,467,5,182,196,12,44,57,6,235,20,29,16,1263,71,181,14,32,81,1,15,74,32,100,181,215,98,3037,666,58,1070,1317,17,140,211,123,88,276,98,109,3,13,411,249,372,13,8,11,105,47,235,81,11,4,0,0,2,0,0,0,0,0,0,0,4,2,0,2,0,0,2,62,0,2,0,2,6,0,0,0,0,0,14,0,0,8,8,2,24,30,4,0,0,0,6,0,0,8,0,0,0,6,12,0,0,0,6,2,2,2,0,12,0,3,44,0,0,12,0,0,72,3,8,0,0,4,0,0,0,222,0,3,0,8,0,0,0,0,8,0,276,20,0,103,0,0,12,59,3,7,3,7,0,0,3,0,0,0,0,0,23,0,0,0,3,0,11,0,0,614,0,0,18,0,0,132,0,28,52,0,0,6,0,0,0,0,0,2039,0,97,0,20,0,0,0,22,0,0,713,50,0,749,224,12,166,321,165,75,5,24,0,352,0,34,0,0,80,31,0,50,0,0,0,0,49,0,0,16,0,3,46,0,0,12,0,0,72,3,12,2,0,6,0,0,2,284,0,5,0,10,6,0,0,0,8,0,290,20,0,111,8,2,36,89,7,7,3,7,6,0,3,8,0,0,0,6,35,0,0,0,9,2,13,2,0
8/31/1988,267,2,27,138,57,2,578,6,205,257,2,37,17,0,272,30,31,15,1932,80,196,12,25,88,1,18,115,235,113,729,335,11,3555,670,36,1269,1356,15,323,229,151,80,185,86,181,2,5,433,363,431,24,12,9,77,61,358,52,10,8,0,0,0,0,0,4,0,4,6,0,0,0,0,0,0,4,0,158,0,2,0,0,0,0,4,6,0,0,22,2,0,6,14,0,4,72,16,0,2,30,2,4,0,8,0,0,2,4,0,2,0,0,0,2,6,12,0,23,0,3,0,0,0,19,0,0,0,4,3,0,0,8,3,0,0,261,0,0,0,0,4,0,7,7,0,0,150,0,0,70,27,0,58,87,20,3,13,63,3,18,4,4,0,0,0,8,15,0,0,0,12,0,114,0,0,30,0,0,9,0,0,422,0,0,0,0,0,0,0,6,0,0,0,2912,0,31,0,0,0,0,0,8,0,0,373,76,0,708,598,0,371,1950,32,0,10,138,0,73,20,0,0,0,65,21,0,0,5,0,0,12,112,0,0,31,0,3,0,0,0,23,0,4,6,4,3,0,0,8,3,4,0,419,0,2,0,0,4,0,11,13,0,0,172,2,0,76,41,0,62,159,36,3,15,93,5,22,4,12,0,0,2,12,15,2,0,0,12,2,120,12,0
9/30/1988,158,1,32,75,51,3,507,12,201,186,4,52,27,2,279,32,24,14,1092,49,128,20,30,47,0,15,112,66,93,540,194,14,3330,709,49,1106,1517,10,194,194,114,198,288,71,104,0,11,190,307,338,18,8,5,91,42,494,106,4,8,0,0,0,0,0,4,0,2,0,0,4,0,0,4,0,2,0,122,0,6,0,0,0,0,2,2,2,2,166,0,0,14,2,2,16,26,14,0,4,6,6,10,0,11,0,0,4,2,8,0,0,0,0,0,2,10,0,46,0,0,0,0,0,13,0,0,28,0,24,20,0,3,0,0,0,192,12,4,0,38,4,0,0,9,0,0,80,0,0,87,5,0,8,34,4,3,0,8,41,7,37,0,0,0,23,3,10,6,0,0,0,0,3,0,0,77,0,0,0,0,0,106,0,0,6,0,0,11,0,0,0,0,0,2034,25,0,0,5,0,0,5,0,0,34,892,68,0,395,500,0,210,939,22,0,9,48,67,65,0,13,0,0,0,213,0,0,5,0,0,0,21,0,0,54,0,0,0,0,0,17,0,2,28,0,28,20,0,7,0,2,0,314,12,10,0,38,4,0,2,11,2,2,246,0,0,101,7,2,24,60,18,3,4,14,47,17,37,11,0,0,27,5,18,6,0,0,0,0,5,10,0
10/31/1988,258,1,12,120,45,4,500,19,190,243,5,40,14,4,226,36,32,6,1632,56,69,23,28,94,4,10,101,44,97,936,211,21,2582,1099,65,1474,1687,16,253,224,104,89,225,44,120,2,17,575,372,395,18,11,2,119,29,206,91,6,4,0,0,0,0,0,6,4,2,0,0,0,0,0,12,0,0,0,110,0,0,0,0,0,0,0,2,0,0,22,0,0,34,2,0,2,106,6,2,2,12,2,8,2,0,0,0,0,12,4,0,0,0,8,0,10,0,0,39,0,0,0,0,0,4,0,4,29,0,0,3,0,18,0,0,0,135,32,3,0,0,0,0,0,4,0,0,15,0,0,11,0,0,167,95,6,0,26,0,6,77,0,0,0,0,0,0,0,0,0,0,32,3,61,0,0,504,0,0,0,0,0,24,20,0,0,0,8,0,0,0,0,0,0,3531,0,10,0,0,121,0,0,38,0,29,731,0,0,393,0,0,290,2292,10,0,0,52,11,80,5,9,0,0,16,0,152,0,0,38,8,0,232,134,0,43,0,0,0,0,0,10,4,6,29,0,0,3,0,30,0,0,0,245,32,3,0,0,0,0,0,6,0,0,37,0,0,45,2,0,169,201,12,2,28,12,8,85,2,0,0,0,0,12,4,0,0,0,40,3,71,0,0
