county_code_moodies,county_code_moodies2,county
06001,CA001,Alameda County
06003,CA003,Alpine County
06005,CA005,Amador County
06007,CA007,Butte County
06009,CA009,Calaveras County
06011,CA011,Colusa County
06013,CA013,Contra Costa County
06015,CA015,Del Norte County
06017,CA017,El Dorado County
06019,CA019,Fresno County
06021,CA021,Glenn County
06023,CA023,Humboldt County
06025,CA025,Imperial County
06027,CA027,Inyo County
06029,CA029,Kern County
06031,CA031,Kings County
06033,CA033,Lake County
06035,CA035,Lassen County
06037,CA037,Los Angeles County
06039,CA039,Madera County
06041,CA041,Marin County
06043,CA043,Mariposa County
06045,CA045,Mendocino County
06047,CA047,Merced County
06049,CA049,Modoc County
06051,CA051,Mono County
06053,CA053,Monterey County
06055,CA055,Napa County
06057,CA057,Nevada County
06059,CA059,Orange County
06061,CA061,Placer County
06063,CA063,Plumas County
06065,CA065,Riverside County
06067,CA067,Sacramento County
06069,CA069,San Benito County
06071,CA071,San Bernardino County
06073,CA073,San Diego County
06075,CA075,San Francisco County
06077,CA077,San Joaquin County
06079,CA079,San Luis Obispo County
06081,CA081,San Mateo County
06083,CA083,Santa Barbara County
06085,CA085,Santa Clara County
06087,CA087,Santa Cruz County
06089,CA089,Shasta County
06091,CA091,Sierra County
06093,CA093,Siskiyou County
06095,CA095,Solano County
06097,CA097,Sonoma County
06099,CA099,Stanislaus County
06101,CA101,Sutter County
06103,CA103,Tehama County
06105,CA105,Trinity County
06107,CA107,Tulare County
06109,CA109,Tuolumne County
06111,CA111,Ventura County
06113,CA113,Yolo County
06115,CA115,Yuba County
