"","czone","czonename","TotalHH14","TotalHH24","TotalHH34"
"1",36600,"Redding, CA Metro Red Bluff Micro, CA Micro ",75283,84670,94057
"2",36700,"Eureka-Arcata-Fortuna, CA Micro ",63141,65374,67607
"3",37000,"Merced, Modesto Metro PLUS",342094,363183,384272
"4",37100,"Bakersfield, CA Metro ",327397,344387,361377
"5",37200,"Fresno, CA Metro PLUS",248739,320419,392099
"6",37300,"Yuba City-Marysville, CA PLUS ",98393,113070,127747
"7",37400,"Sacramento--Arden-Arcade--Roseville, CA Metro ",1400890,1538328,1675766
"8",37500,"San Jose-Sunnyvale-Santa Clara, CA Metro ",1149936,1304207,1458478
"9",37700,"Santa Rosa-Petaluma, CA Metro ",262056,283057,304058
"10",37800,"San Francisco-San Mateo-Redwood City, CA Metro Division",2788384,3088099,3387814
"11",38000,"San Diego-Carlsbad-San Marcos, CA Metro ",1560349,1708703,1857057
"12",38100,"Yuma, AZ Metro El Centro Metro",62653,72161,81669
"13",38200,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ",341795,369858,397921
"14",38300,"Los Angeles-Long Beach-Glendale, CA Metro Division",9131298,9860258,10589218
