"","czone","czonename","TotalHH14","TotalHH24","TotalHH34"
"1","36600","Redding, CA Metro Red Bluff Micro, CA Micro ",75283,76996,78709
"2","36700","Eureka-Arcata-Fortuna, CA Micro ",63141,63580,64019
"3","37000","Merced, Modesto Metro PLUS",342094,344966,347838
"4","37100","Bakersfield, CA Metro ",327397,329370,331343
"5","37200","Fresno, CA Metro PLUS",248739,258573,268407
"6","37300","Yuba City-Marysville, CA PLUS ",98393,101493,104593
"7","37400","Sacramento--Arden-Arcade--Roseville, CA Metro ",1400890,1418655,1436420
"8","37500","San Jose-Sunnyvale-Santa Clara, CA Metro ",1149936,1167466,1184996
"9","37700","Santa Rosa-Petaluma, CA Metro ",262056,265055,268054
"10","37800","San Francisco-San Mateo-Redwood City, CA Metro Division",2788384,2820087,2851790
"11","38000","San Diego-Carlsbad-San Marcos, CA Metro ",1560349,1576467,1592585
"12","38100","Yuma, AZ Metro El Centro Metro",62653,64326,65999
"13","38200","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ",341795,345663,349531
"14","38300","Los Angeles-Long Beach-Glendale, CA Metro Division",9131298,9200106,9268914
