"","czone","IND","variable","HH","forecast","czonename"
"1","36600","21","2014",326,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"2","37000","21","2014",362,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"3","37100","21","2014",17994,"Ind Industry Forecast","Bakersfield, CA Metro "
"4","37200","21","2014",258,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"5","37300","21","2014",317,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"6","37400","21","2014",1211,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"7","37500","21","2014",573,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"8","37700","21","2014",97,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"9","37800","21","2014",3364,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"10","38000","21","2014",610,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"11","38200","21","2014",2215,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"12","38300","21","2014",10372,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"13","36600","22","2014",651,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"14","36700","22","2014",580,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"15","37000","22","2014",3274,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"16","37100","22","2014",3450,"Ind Industry Forecast","Bakersfield, CA Metro "
"17","37200","22","2014",1968,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"18","37300","22","2014",1353,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"19","37400","22","2014",13519,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"20","37500","22","2014",6077,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"21","37700","22","2014",1989,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"22","37800","22","2014",22041,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"23","38000","22","2014",10829,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"24","38100","22","2014",2610,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"25","38200","22","2014",4849,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"26","38300","22","2014",64988,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"27","36600","23","2014",7075,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"28","36700","23","2014",4928,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"29","37000","23","2014",22899,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"30","37100","23","2014",26361,"Ind Industry Forecast","Bakersfield, CA Metro "
"31","37200","23","2014",14744,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"32","37300","23","2014",6319,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"33","37400","23","2014",99935,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"34","37500","23","2014",60302,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"35","37700","23","2014",20959,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"36","37800","23","2014",148816,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"37","38000","23","2014",92189,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"38","38100","23","2014",1732,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
