"","czone","czonename","TotalHH14","TotalHH24","TotalHH34"
"1",36600,"Redding, CA Metro Red Bluff Micro, CA Micro ",75283,83875,92467
"2",36700,"Eureka-Arcata-Fortuna, CA Micro ",63141,64126,65111
"3",37000,"Merced, Modesto Metro PLUS",342094,359723,377352
"4",37100,"Bakersfield, CA Metro ",327397,342260,357123
"5",37200,"Fresno, CA Metro PLUS",248739,310394,372049
"6",37300,"Yuba City-Marysville, CA PLUS ",98393,112039,125685
"7",37400,"Sacramento--Arden-Arcade--Roseville, CA Metro ",1400890,1512865,1624840
"8",37500,"San Jose-Sunnyvale-Santa Clara, CA Metro ",1149936,1286210,1422484
"9",37700,"Santa Rosa-Petaluma, CA Metro ",262056,275548,289040
"10",37800,"San Francisco-San Mateo-Redwood City, CA Metro Division",2788384,3040045,3291706
"11",38000,"San Diego-Carlsbad-San Marcos, CA Metro ",1560349,1686993,1813637
"12",38100,"Yuma, AZ Metro El Centro Metro",62653,70739,78825
"13",38200,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ",341795,366204,390613
"14",38300,"Los Angeles-Long Beach-Glendale, CA Metro Division",9131298,9769527,10407756
