"","czone","czonename","variable","HH","forecast"
"1","36600","Redding, CA Metro Red Bluff Micro, CA Micro ","TotalHH14",75283,"Age Industry Forecast"
"2","36700","Eureka-Arcata-Fortuna, CA Micro ","TotalHH14",63141,"Age Industry Forecast"
"3","37000","Merced, Modesto Metro PLUS","TotalHH14",342094,"Age Industry Forecast"
"4","37100","Bakersfield, CA Metro ","TotalHH14",327397,"Age Industry Forecast"
"5","37200","Fresno, CA Metro PLUS","TotalHH14",248739,"Age Industry Forecast"
"6","37300","Yuba City-Marysville, CA PLUS ","TotalHH14",98393,"Age Industry Forecast"
"7","37400","Sacramento--Arden-Arcade--Roseville, CA Metro ","TotalHH14",1400890,"Age Industry Forecast"
"8","37500","San Jose-Sunnyvale-Santa Clara, CA Metro ","TotalHH14",1149936,"Age Industry Forecast"
"9","37700","Santa Rosa-Petaluma, CA Metro ","TotalHH14",262056,"Age Industry Forecast"
"10","37800","San Francisco-San Mateo-Redwood City, CA Metro Division","TotalHH14",2788384,"Age Industry Forecast"
"11","38000","San Diego-Carlsbad-San Marcos, CA Metro ","TotalHH14",1560349,"Age Industry Forecast"
"12","38100","Yuma, AZ Metro El Centro Metro","TotalHH14",62653,"Age Industry Forecast"
"13","38200","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ","TotalHH14",341795,"Age Industry Forecast"
"14","38300","Los Angeles-Long Beach-Glendale, CA Metro Division","TotalHH14",9131298,"Age Industry Forecast"
"15","36600","Redding, CA Metro Red Bluff Micro, CA Micro ","TotalHH24",84835,"Age Industry Forecast"
"16","36700","Eureka-Arcata-Fortuna, CA Micro ","TotalHH24",65286,"Age Industry Forecast"
"17","37000","Merced, Modesto Metro PLUS","TotalHH24",358866,"Age Industry Forecast"
"18","37100","Bakersfield, CA Metro ","TotalHH24",340147,"Age Industry Forecast"
"19","37200","Fresno, CA Metro PLUS","TotalHH24",306712,"Age Industry Forecast"
"20","37300","Yuba City-Marysville, CA PLUS ","TotalHH24",111979,"Age Industry Forecast"
"21","37400","Sacramento--Arden-Arcade--Roseville, CA Metro ","TotalHH24",1494509,"Age Industry Forecast"
"22","37500","San Jose-Sunnyvale-Santa Clara, CA Metro ","TotalHH24",1246157,"Age Industry Forecast"
"23","37700","Santa Rosa-Petaluma, CA Metro ","TotalHH24",277640,"Age Industry Forecast"
"24","37800","San Francisco-San Mateo-Redwood City, CA Metro Division","TotalHH24",2972761,"Age Industry Forecast"
"25","38000","San Diego-Carlsbad-San Marcos, CA Metro ","TotalHH24",1654314,"Age Industry Forecast"
"26","38100","Yuma, AZ Metro El Centro Metro","TotalHH24",70930,"Age Industry Forecast"
"27","38200","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ","TotalHH24",362295,"Age Industry Forecast"
"28","38300","Los Angeles-Long Beach-Glendale, CA Metro Division","TotalHH24",9561514,"Age Industry Forecast"
"29","36600","Redding, CA Metro Red Bluff Micro, CA Micro ","TotalHH34",94387,"Age Industry Forecast"
"30","36700","Eureka-Arcata-Fortuna, CA Micro ","TotalHH34",67431,"Age Industry Forecast"
"31","37000","Merced, Modesto Metro PLUS","TotalHH34",375638,"Age Industry Forecast"
"32","37100","Bakersfield, CA Metro ","TotalHH34",352897,"Age Industry Forecast"
"33","37200","Fresno, CA Metro PLUS","TotalHH34",364685,"Age Industry Forecast"
"34","37300","Yuba City-Marysville, CA PLUS ","TotalHH34",125565,"Age Industry Forecast"
"35","37400","Sacramento--Arden-Arcade--Roseville, CA Metro ","TotalHH34",1588128,"Age Industry Forecast"
"36","37500","San Jose-Sunnyvale-Santa Clara, CA Metro ","TotalHH34",1342378,"Age Industry Forecast"
"37","37700","Santa Rosa-Petaluma, CA Metro ","TotalHH34",293224,"Age Industry Forecast"
"38","37800","San Francisco-San Mateo-Redwood City, CA Metro Division","TotalHH34",3157138,"Age Industry Forecast"
"39","38000","San Diego-Carlsbad-San Marcos, CA Metro ","TotalHH34",1748279,"Age Industry Forecast"
"40","38100","Yuma, AZ Metro El Centro Metro","TotalHH34",79207,"Age Industry Forecast"
"41","38200","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ","TotalHH34",382795,"Age Industry Forecast"
"42","38300","Los Angeles-Long Beach-Glendale, CA Metro Division","TotalHH34",9991730,"Age Industry Forecast"
