"","czone","czonename","TotalHH14","TotalHH24","TotalHH34"
"1","36600","Redding, CA Metro Red Bluff Micro, CA Micro ",75283,83049,90815
"2","36700","Eureka-Arcata-Fortuna, CA Micro ",63141,65095,67049
"3","37000","Merced, Modesto Metro PLUS",342094,359711,377328
"4","37100","Bakersfield, CA Metro ",327397,341282,355167
"5","37200","Fresno, CA Metro PLUS",248739,305743,362747
"6","37300","Yuba City-Marysville, CA PLUS ",98393,110328,122263
"7","37400","Sacramento--Arden-Arcade--Roseville, CA Metro ",1400890,1517272,1633654
"8","37500","San Jose-Sunnyvale-Santa Clara, CA Metro ",1149936,1276912,1403888
"9","37700","Santa Rosa-Petaluma, CA Metro ",262056,279840,297624
"10","37800","San Francisco-San Mateo-Redwood City, CA Metro Division",2788384,3037296,3286208
"11","38000","San Diego-Carlsbad-San Marcos, CA Metro ",1560349,1685887,1811425
"12","38100","Yuma, AZ Metro El Centro Metro",62653,69361,76069
"13","38200","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro ",341795,365234,388673
"14","38300","Los Angeles-Long Beach-Glendale, CA Metro Division",9131298,9752693,10374088
