"","czone","HHTYPE","Housing14Total","Housing24Total","Housing34Total","HousingCh_1424","HousingCh_2434","HousingChPct_1424","HousingChPct_2434","czonename"
"1","36600","mf_owner",173,208.820613176778,229.372472276582,35.8206131767776,20.5518590998043,0.172,0.09,"Redding, CA Metro Red Bluff Micro, CA Micro "
"2","36600","mf_renter",7198,7811.54220317628,8195.17443165122,613.542203176285,383.632228474931,0.079,0.047,"Redding, CA Metro Red Bluff Micro, CA Micro "
"3","36600","sf_owner",22490,25511.7172719743,27250.1702780647,3021.71727197434,1738.45300609039,0.118,0.064,"Redding, CA Metro Red Bluff Micro, CA Micro "
"4","36600","sf_renter",10286,11587.9199116726,12324.2828180075,1301.9199116726,736.362906334878,0.112,0.06,"Redding, CA Metro Red Bluff Micro, CA Micro "
"5","36700","mf_owner",198,208.89463893748,207.275896411687,10.8946389374803,-1.61874252579284,0.052,-0.008,"Eureka-Arcata-Fortuna, CA Micro "
"6","36700","mf_renter",7327,7577.5941475156,7614.16079591667,250.594147515598,36.566648401069,0.033,0.005,"Eureka-Arcata-Fortuna, CA Micro "
"7","36700","sf_owner",17992,18832.6509188385,18930.9744712693,840.65091883851,98.3235524307966,0.045,0.005,"Eureka-Arcata-Fortuna, CA Micro "
"8","36700","sf_renter",10879,11426.8602947084,11475.5888364023,547.860294708411,48.7285416939285,0.048,0.004,"Eureka-Arcata-Fortuna, CA Micro "
"9","37000","mf_owner",1010,1016.77280526165,1020.6238204175,6.77280526165282,3.8510151558479,0.007,0.004,"Merced, Modesto Metro PLUS"
"10","37000","mf_renter",26191,26785.530462019,27136.1900293588,594.530462018985,350.659567339786,0.022,0.013,"Merced, Modesto Metro PLUS"
"11","37000","sf_owner",96411,100072.684614885,102351.260018099,3661.68461488455,2278.57540321401,0.037,0.022,"Merced, Modesto Metro PLUS"
"12","37000","sf_renter",56195,56989.0121178348,57442.9261321252,794.012117834813,453.914014290363,0.014,0.008,"Merced, Modesto Metro PLUS"
"13","37100","mf_owner",852,878.347400144159,899.099662584551,26.3474001441591,20.7522624403916,0.03,0.023,"Bakersfield, CA Metro "
"14","37100","mf_renter",34421,35425.651880493,36031.2521220961,1004.65188049297,605.600241603111,0.028,0.017,"Bakersfield, CA Metro "
"15","37100","sf_owner",97476,101995.261793444,105373.139479098,4519.26179344421,3377.87768565369,0.044,0.032,"Bakersfield, CA Metro "
"16","37100","sf_renter",48179,49394.7389259187,50248.5087362215,1215.73892591867,853.769810302816,0.025,0.017,"Bakersfield, CA Metro "
"17","37200","mf_owner",609,748.442965390129,840.860536555396,139.442965390129,92.4175711652672,0.186,0.11,"Fresno, CA Metro PLUS"
"18","37200","mf_renter",20588,21750.2879527614,22551.2651265438,1162.2879527614,800.977173782423,0.053,0.036,"Fresno, CA Metro PLUS"
"19","37200","sf_owner",80001,92748.1392167421,101513.358196158,12747.1392167421,8765.21897941596,0.137,0.086,"Fresno, CA Metro PLUS"
"20","37200","sf_renter",39825,42972.1298651063,45125.5161407427,3147.12986510634,2153.38627563635,0.073,0.048,"Fresno, CA Metro PLUS"
"21","37300","mf_owner",16,16,16,0,0,0,0,"Yuba City-Marysville, CA PLUS "
"22","37300","mf_renter",8527,9439.13884391313,10134.7456257728,912.138843913126,695.606781859669,0.097,0.069,"Yuba City-Marysville, CA PLUS "
"23","37300","sf_owner",27961,32597.2265995537,36219.9819521443,4636.22659955367,3622.75535259063,0.142,0.1,"Yuba City-Marysville, CA PLUS "
"24","37300","sf_renter",14322,15946.6345565332,17244.2724220829,1624.6345565332,1297.6378655497,0.102,0.075,"Yuba City-Marysville, CA PLUS "
"25","37400","mf_owner",7031,7247.58443125902,7397.21432927088,216.584431259022,149.629898011859,0.03,0.02,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"26","37400","mf_renter",153206,155223.35770588,156550.125045893,2017.35770588039,1326.76734001271,0.013,0.008,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"27","37400","sf_owner",418335,429159.359622435,436374.2428284,10824.3596224354,7214.8832059644,0.025,0.017,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"28","37400","sf_renter",169246,171958.698240425,173604.417796436,2712.6982404252,1645.71955601103,0.016,0.009,"Sacramento--Arden-Arcade--Roseville, CA Metro "
"29","37500","mf_owner",19777,22036.3848750043,23422.2758686153,2259.38487500435,1385.89099361092,0.103,0.059,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"30","37500","mf_renter",171687,183743.400130442,191022.548986957,12056.4001304425,7279.14885651466,0.066,0.038,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"31","37500","sf_owner",297191,328290.056442671,346794.204737186,31099.0564426709,18504.1482945147,0.095,0.053,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"32","37500","sf_renter",91153,96485.1585518822,99655.9704072419,5332.15855188222,3170.81185535969,0.055,0.032,"San Jose-Sunnyvale-Santa Clara, CA Metro "
"33","37700","mf_owner",1032,1158.47488055344,1216.47264493971,126.474880553445,57.9977643862667,0.109,0.048,"Santa Rosa-Petaluma, CA Metro "
"34","37700","mf_renter",23791,25189.5695840979,25735.3672224985,1398.56958409788,545.797638400643,0.056,0.021,"Santa Rosa-Petaluma, CA Metro "
"35","37700","sf_owner",74860,83835.6818794436,87741.0624856872,8975.68187944364,3905.38060624358,0.107,0.045,"Santa Rosa-Petaluma, CA Metro "
"36","37700","sf_renter",36117,39071.273655905,40283.0976468745,2954.27365590503,1211.82399096951,0.076,0.03,"Santa Rosa-Petaluma, CA Metro "
"37","37800","mf_owner",73186,76143.5723261246,78047.6338294211,2957.57232612465,1904.06150329641,0.039,0.024,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"38","37800","mf_renter",468239,478169.953679757,484528.028195683,9930.95367975731,6358.07451592572,0.021,0.013,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"39","37800","sf_owner",706761,724996.438458096,736745.656228626,18235.4384580955,11749.2177705304,0.025,0.016,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"40","37800","sf_renter",218340,222250.035536022,224651.68174627,3910.03553602248,2401.64621024751,0.018,0.011,"San Francisco-San Mateo-Redwood City, CA Metro Division"
"41","38000","mf_owner",37236,40160.2810557042,42158.4945535267,2924.28105570417,1998.2134978225,0.073,0.047,"San Diego-Carlsbad-San Marcos, CA Metro "
"42","38000","mf_renter",256727,265480.531788827,271353.928146642,8753.53178882692,5873.39635781478,0.033,0.022,"San Diego-Carlsbad-San Marcos, CA Metro "
"43","38000","sf_owner",385956,410378.897644612,426921.233160526,24422.8976446118,16542.3355159143,0.06,0.039,"San Diego-Carlsbad-San Marcos, CA Metro "
"44","38000","sf_renter",148082,153777.289510857,157504.344139305,5695.28951085708,3727.05462844842,0.037,0.024,"San Diego-Carlsbad-San Marcos, CA Metro "
"45","38100","mf_owner",153,164.198139068885,169.327811457807,11.1981390688851,5.12967238892162,0.068,0.03,"Yuma, AZ Metro El Centro Metro"
"46","38100","mf_renter",5824,6306.42151999584,6557.22648256232,482.421519995842,250.804962566482,0.076,0.038,"Yuma, AZ Metro El Centro Metro"
"47","38100","sf_owner",19285,23505.2476957672,26069.7727517411,4220.24769576715,2564.52505597398,0.18,0.098,"Yuma, AZ Metro El Centro Metro"
"48","38100","sf_renter",8665,9787.13264516812,10355.6729542387,1122.13264516812,568.540309070615,0.115,0.055,"Yuma, AZ Metro El Centro Metro"
"49","38200","mf_owner",2994,3380.55635927974,3656.7870699473,386.556359279738,276.230710667561,0.114,0.076,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"50","38200","mf_renter",41532,45019.22246092,47221.5043337013,3487.22246091996,2202.28187278136,0.077,0.047,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"51","38200","sf_owner",80555,91898.2973166717,99725.3419961288,11343.2973166717,7827.0446794571,0.123,0.078,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"52","38200","sf_renter",46676,51448.9238631286,54529.3666002226,4772.9238631286,3080.44273709397,0.093,0.056,"Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"53","38300","mf_owner",141205,143486.651786016,145191.951801094,2281.65178601624,1705.30001507749,0.016,0.012,"Los Angeles-Long Beach-Glendale, CA Metro Division"
"54","38300","mf_renter",1442934,1452743.62243913,1459876.15007842,9809.6224391337,7132.52763928659,0.007,0.005,"Los Angeles-Long Beach-Glendale, CA Metro Division"
"55","38300","sf_owner",2185531,2205042.42504003,2218992.28146862,19511.4250400318,13949.8564285878,0.009,0.006,"Los Angeles-Long Beach-Glendale, CA Metro Division"
"56","38300","sf_renter",825025,829603.300734818,832675.616651866,4578.30073481821,3072.3159170479,0.006,0.004,"Los Angeles-Long Beach-Glendale, CA Metro Division"
