"","czone","HHTYPE","HH24new","HH34new","czonename","name"
"1","36600","mf_owner",46.2283625373365,1517.31530023689,"Redding, CA Metro Red Bluff Micro, CA Micro ","Redding, CA Met"
"2","36600","mf_renter",1404.95129932961,61462.3177121242,"Redding, CA Metro Red Bluff Micro, CA Micro ","Redding, CA Met"
"3","36600","sf_owner",4976.66036152019,169712.250416762,"Redding, CA Metro Red Bluff Micro, CA Micro ","Redding, CA Met"
"4","36600","sf_renter",2138.15997661286,88804.1165708767,"Redding, CA Metro Red Bluff Micro, CA Micro ","Redding, CA Met"
"5","36700","mf_owner",3.24864297988342,1354.8348458134,"Eureka-Arcata-Fortuna, CA Micro ","Eureka-Arcata-F"
"6","36700","mf_renter",164.135767575772,60035.1814534809,"Eureka-Arcata-Fortuna, CA Micro ","Eureka-Arcata-F"
"7","36700","sf_owner",504.904142683312,165636.047042995,"Eureka-Arcata-Fortuna, CA Micro ","Eureka-Arcata-F"
"8","36700","sf_renter",312.711446761032,113283.936657711,"Eureka-Arcata-Fortuna, CA Micro ","Eureka-Arcata-F"
"9","37000","mf_owner",74.3329729671944,3944.49482943848,"Merced, Modesto Metro PLUS","Merced, Modesto"
"10","37000","mf_renter",1876.35261579762,80890.0621964743,"Merced, Modesto Metro PLUS","Merced, Modesto"
"11","37000","sf_owner",10761.199244256,400197.216432119,"Merced, Modesto Metro PLUS","Merced, Modesto"
"12","37000","sf_renter",4917.11516697916,221940.226541968,"Merced, Modesto Metro PLUS","Merced, Modesto"
"13","37100","mf_owner",60.0918430338369,426.047327258709,"Bakersfield, CA Metro ","Bakersfield, CA"
"14","37100","mf_renter",2302.30631442777,18685.0505006067,"Bakersfield, CA Metro ","Bakersfield, CA"
"15","37100","sf_owner",8890.16347793595,58837.2752600427,"Bakersfield, CA Metro ","Bakersfield, CA"
"16","37100","sf_renter",3610.43836460244,27400.6269120919,"Bakersfield, CA Metro ","Bakersfield, CA"
"17","37200","mf_owner",246.864066596231,2550.57294012376,"Fresno, CA Metro PLUS","Fresno, CA Metr"
"18","37200","mf_renter",7225.00626411039,68122.263873617,"Fresno, CA Metro PLUS","Fresno, CA Metr"
"19","37200","sf_owner",36894.1977744204,301031.756889247,"Fresno, CA Metro PLUS","Fresno, CA Metr"
"20","37200","sf_renter",17288.931894873,154349.406297013,"Fresno, CA Metro PLUS","Fresno, CA Metr"
"21","37300","mf_owner",4.53012048192771,246.351807228916,"Yuba City-Marysville, CA PLUS ","Yuba City-Marys"
"22","37300","mf_renter",1968.96120522957,107657.706442757,"Yuba City-Marysville, CA PLUS ","Yuba City-Marys"
"23","37300","sf_owner",7768.28591370752,414049.206826016,"Yuba City-Marysville, CA PLUS ","Yuba City-Marys"
"24","37300","sf_renter",3891.22276058097,266272.734923998,"Yuba City-Marysville, CA PLUS ","Yuba City-Marys"
"25","37400","mf_owner",882.588255496217,9107.2953326023,"Sacramento--Arden-Arcade--Roseville, CA Metro ","Sacramento--Ard"
"26","37400","mf_renter",18036.7302749324,212270.190485053,"Sacramento--Arden-Arcade--Roseville, CA Metro ","Sacramento--Ard"
"27","37400","sf_owner",68561.7558222279,688561.000256204,"Sacramento--Arden-Arcade--Roseville, CA Metro ","Sacramento--Ard"
"28","37400","sf_renter",24347.9256473435,282703.513926141,"Sacramento--Arden-Arcade--Roseville, CA Metro ","Sacramento--Ard"
"29","37500","mf_owner",3885.74889935938,3485.4440097193,"San Jose-Sunnyvale-Santa Clara, CA Metro ","San Jose-Sunnyv"
"30","37500","mf_renter",34987.7891526259,43721.8179154053,"San Jose-Sunnyvale-Santa Clara, CA Metro ","San Jose-Sunnyv"
"31","37500","sf_owner",75702.8743025109,65215.0312416369,"San Jose-Sunnyvale-Santa Clara, CA Metro ","San Jose-Sunnyv"
"32","37500","sf_renter",21697.5876455038,25931.7068332386,"San Jose-Sunnyvale-Santa Clara, CA Metro ","San Jose-Sunnyv"
"33","37700","mf_owner",96.97667667767,3342.32071089148,"Santa Rosa-Petaluma, CA Metro ","Santa Rosa-Peta"
"34","37700","mf_renter",1862.11799818709,70386.2794882859,"Santa Rosa-Petaluma, CA Metro ","Santa Rosa-Peta"
"35","37700","sf_owner",8192.81298129623,274246.200058484,"Santa Rosa-Petaluma, CA Metro ","Santa Rosa-Peta"
