"","czone","Ind_Code","fcast_2014","fcast_2024","fcast_2034","EmpCh14_24","EmpCh24_34","name"
"1","36501","21",140,130,130,-10,0,NA
"2","36501","22",160,140,130,-20,-10,NA
"3","36501","23",640,640,620,0,-20,NA
"4","36501","33",920,790,640,-130,-150,NA
"5","36501","42",540,500,460,-40,-40,NA
"6","36501","44",2720,2560,2290,-160,-270,NA
"7","36501","48",470,430,370,-40,-60,NA
"8","36501","51",340,350,330,10,-20,NA
"9","36501","52",379,372,385,-7,13,NA
"10","36501","53",201,198,205,-3,7,NA
"11","36501","54",595,646,647,51,1,NA
"12","36501","55",69,76,78,7,2,NA
"13","36501","56",426,468,484,42,16,NA
"14","36501","61",1056,1124,1109,68,-15,NA
"15","36501","62",2214,2336,2261,122,-75,NA
"16","36501","71",486,530,510,44,-20,NA
"17","36501","72",2054,2190,2100,136,-90,NA
"18","36501","81",690,640,570,-50,-70,NA
"19","36501","92",12040,11440,10800,-600,-640,NA
"20","36600","21",240,320,450,80,130,"Redding, CA Met"
"21","36600","22",840,850,850,10,0,"Redding, CA Met"
"22","36600","23",3030,3300,3760,270,460,"Redding, CA Met"
"23","36600","33",3980,3870,3520,-110,-350,"Redding, CA Met"
"24","36600","42",2270,2070,1880,-200,-190,"Redding, CA Met"
"25","36600","44",10660,11630,11810,970,180,"Redding, CA Met"
"26","36600","48",2760,3450,3930,690,480,"Redding, CA Met"
"27","36600","51",720,770,790,50,20,"Redding, CA Met"
"28","36600","52",2030,2578,3246,548,668,"Redding, CA Met"
"29","36600","53",860,1092,1374,232,282,"Redding, CA Met"
"30","36600","54",2490,3391,4197,901,806,"Redding, CA Met"
"31","36600","55",475,644,794,169,150,"Redding, CA Met"
"32","36600","56",3375,4596,5689,1221,1093,"Redding, CA Met"
"33","36600","61",4027,5003,5845,976,842,"Redding, CA Met"
"34","36600","62",12233,15047,17345,2814,2298,"Redding, CA Met"
"35","36600","71",1106,1185,1240,79,55,"Redding, CA Met"
"36","36600","72",7034,7575,7930,541,355,"Redding, CA Met"
"37","36600","81",2910,2750,2560,-160,-190,"Redding, CA Met"
