"","Year","Per_MF2","Per_MF24","Per_MF34","Per_MF5","Per_SFH"
"1",1990,3950,10269,6319,50225,103819
"2",1991,2306,7166,4860,24944,73809
"3",1992,1850,5835,3985,15385,76187
"4",1993,1320,3619,2299,11136,69901
"5",1994,1356,4615,3259,15317,77115
"6",1995,1220,4114,2894,12490,68689
"7",1996,1201,3564,2363,15796,74923
"8",1997,1273,3777,2504,23159,84780
"9",1998,1484,4185,2701,27224,94298
"10",1999,1201,3847,2646,34579,101711
"11",2000,1371,4868,3497,38077,105595
"12",2001,1574,4460,2886,37395,106902
"13",2002,1898,5250,3352,38646,123865
"14",2003,2583,6985,4402,49935,138762
"15",2004,2646,8480,5834,53063,151417
"16",2005,2674,7697,5023,45953,155322
"17",2006,2558,7185,4627,49074,108021
"18",2007,2232,5577,3345,39048,68409
"19",2008,1380,2796,1416,29116,33050
"20",2009,798,1631,833,9336,25454
"21",2010,666,1859,1193,17377,25526
"22",2011,712,1708,996,23846,21538
"23",2012,1056,2487,1431,29593,27558
"24",2013,1208,2516,1308,44713,37026
"25",2014,1275,2947,1672,45401,36137
"26",2015,1680,4027,2347,44032,39138
