"","Year","czonename","Per_MF2","Per_MF24","Per_MF34","Per_MF5","Per_SFH"
"1",1988,"Bakersfield, CA Metro ",40,161,121,133,2864
"2",1989,"Bakersfield, CA Metro ",18,232,214,153,3918
"3",1990,"Bakersfield, CA Metro ",58,142,84,255,4492
"4",1991,"Bakersfield, CA Metro ",22,206,184,85,3107
"5",1992,"Bakersfield, CA Metro ",52,249,197,266,3851
"6",1993,"Bakersfield, CA Metro ",36,172,136,142,3082
"7",1994,"Bakersfield, CA Metro ",30,305,275,168,2672
"8",1995,"Bakersfield, CA Metro ",8,147,139,455,2702
"9",1996,"Bakersfield, CA Metro ",2,119,117,300,2393
"10",1997,"Bakersfield, CA Metro ",14,51,37,202,2384
"11",1998,"Bakersfield, CA Metro ",48,285,237,143,3025
"12",1999,"Bakersfield, CA Metro ",8,81,73,244,2832
"13",2000,"Bakersfield, CA Metro ",14,55,41,149,2856
"14",2001,"Bakersfield, CA Metro ",16,28,12,136,3473
"15",2002,"Bakersfield, CA Metro ",6,34,28,298,4549
"16",2003,"Bakersfield, CA Metro ",90,209,119,374,5529
"17",2004,"Bakersfield, CA Metro ",114,323,209,479,6653
"18",2005,"Bakersfield, CA Metro ",200,578,378,595,8277
"19",2006,"Bakersfield, CA Metro ",184,962,778,371,6358
"20",2007,"Bakersfield, CA Metro ",388,659,271,280,3669
"21",2008,"Bakersfield, CA Metro ",190,421,231,510,1627
"22",2009,"Bakersfield, CA Metro ",14,21,7,171,1676
"23",2010,"Bakersfield, CA Metro ",28,60,32,547,1313
"24",2011,"Bakersfield, CA Metro ",32,41,9,263,718
"25",2012,"Bakersfield, CA Metro ",24,52,28,367,1465
"26",2013,"Bakersfield, CA Metro ",84,139,55,391,1919
"27",2014,"Bakersfield, CA Metro ",56,96,40,284,1998
"28",2015,"Bakersfield, CA Metro ",26,72,46,85,2020
"29",1988,"Eureka-Arcata-Fortuna, CA Micro ",10,85,75,150,534
"30",1989,"Eureka-Arcata-Fortuna, CA Micro ",16,73,57,195,564
"31",1990,"Eureka-Arcata-Fortuna, CA Micro ",18,103,85,170,667
"32",1991,"Eureka-Arcata-Fortuna, CA Micro ",22,78,56,142,533
"33",1992,"Eureka-Arcata-Fortuna, CA Micro ",16,117,101,37,534
"34",1993,"Eureka-Arcata-Fortuna, CA Micro ",20,74,54,108,547
"35",1994,"Eureka-Arcata-Fortuna, CA Micro ",12,66,54,37,475
"36",1995,"Eureka-Arcata-Fortuna, CA Micro ",6,45,39,55,442
"37",1996,"Eureka-Arcata-Fortuna, CA Micro ",6,16,10,27,385
"38",1997,"Eureka-Arcata-Fortuna, CA Micro ",8,18,10,83,392
"39",1998,"Eureka-Arcata-Fortuna, CA Micro ",2,17,15,20,386
"40",1999,"Eureka-Arcata-Fortuna, CA Micro ",4,27,23,28,395
"41",2000,"Eureka-Arcata-Fortuna, CA Micro ",2,21,19,60,325
"42",2001,"Eureka-Arcata-Fortuna, CA Micro ",10,42,32,118,432
"43",2002,"Eureka-Arcata-Fortuna, CA Micro ",6,56,50,84,440
"44",2003,"Eureka-Arcata-Fortuna, CA Micro ",18,33,15,23,431
"45",2004,"Eureka-Arcata-Fortuna, CA Micro ",22,107,85,8,574
"46",2005,"Eureka-Arcata-Fortuna, CA Micro ",22,42,20,0,521
"47",2006,"Eureka-Arcata-Fortuna, CA Micro ",10,61,51,92,380
"48",2007,"Eureka-Arcata-Fortuna, CA Micro ",6,18,12,53,355
"49",2008,"Eureka-Arcata-Fortuna, CA Micro ",2,38,36,82,237
"50",2009,"Eureka-Arcata-Fortuna, CA Micro ",4,24,20,0,189
"51",2010,"Eureka-Arcata-Fortuna, CA Micro ",4,8,4,16,207
"52",2011,"Eureka-Arcata-Fortuna, CA Micro ",2,42,40,108,172
"53",2012,"Eureka-Arcata-Fortuna, CA Micro ",6,28,22,40,109
"54",2013,"Eureka-Arcata-Fortuna, CA Micro ",6,22,16,14,141
"55",2014,"Eureka-Arcata-Fortuna, CA Micro ",6,31,25,40,177
"56",2015,"Eureka-Arcata-Fortuna, CA Micro ",0,8,8,0,143
"57",1988,"Fresno, CA Metro PLUS",156,647,491,623,5524
"58",1989,"Fresno, CA Metro PLUS",176,762,586,2196,7864
"59",1990,"Fresno, CA Metro PLUS",392,761,369,1262,7647
"60",1991,"Fresno, CA Metro PLUS",150,481,331,870,6727
"61",1992,"Fresno, CA Metro PLUS",180,577,397,743,7301
"62",1993,"Fresno, CA Metro PLUS",120,325,205,419,6506
"63",1994,"Fresno, CA Metro PLUS",118,350,232,881,6669
"64",1995,"Fresno, CA Metro PLUS",126,577,451,1022,5741
"65",1996,"Fresno, CA Metro PLUS",70,244,174,429,5489
"66",1997,"Fresno, CA Metro PLUS",80,225,145,453,4704
"67",1998,"Fresno, CA Metro PLUS",98,198,100,553,5128
"68",1999,"Fresno, CA Metro PLUS",68,256,188,406,5135
"69",2000,"Fresno, CA Metro PLUS",28,197,169,198,5543
"70",2001,"Fresno, CA Metro PLUS",100,283,183,281,6633
"71",2002,"Fresno, CA Metro PLUS",56,206,150,302,7000
"72",2003,"Fresno, CA Metro PLUS",92,612,520,1538,8451
"73",2004,"Fresno, CA Metro PLUS",272,829,557,1443,9939
"74",2005,"Fresno, CA Metro PLUS",238,674,436,1712,12420
"75",2006,"Fresno, CA Metro PLUS",270,659,389,866,8965
"76",2007,"Fresno, CA Metro PLUS",140,482,342,1478,7001
"77",2008,"Fresno, CA Metro PLUS",52,117,65,664,4096
"78",2009,"Fresno, CA Metro PLUS",22,135,113,195,3499
"79",2010,"Fresno, CA Metro PLUS",42,177,135,679,3285
"80",2011,"Fresno, CA Metro PLUS",8,84,76,698,1866
