"","czone","HHTYPE","HH24new","HH34new","czonename","name"
"1",36600,"mf_owner",51.0352513346723,29.5839314682254,"Redding, CA Metro Red Bluff Micro, CA Micro ","Redding, CA Met"
"2",36600,"mf_renter",1550.73300792288,946.886153939295,"Redding, CA Metro Red Bluff Micro, CA Micro ","Redding, CA Met"
"3",36600,"sf_owner",5392.57992478734,3141.27457611007,"Redding, CA Metro Red Bluff Micro, CA Micro ","Redding, CA Met"
"4",36600,"sf_renter",2368.65181595511,1377.25533848241,"Redding, CA Metro Red Bluff Micro, CA Micro ","Redding, CA Met"
"5",36700,"mf_owner",10.8946389374803,-1.61874252579285,"Eureka-Arcata-Fortuna, CA Micro ","Eureka-Arcata-F"
"6",36700,"mf_renter",392.267902563716,30.7739318570262,"Eureka-Arcata-Fortuna, CA Micro ","Eureka-Arcata-F"
"7",36700,"sf_owner",1070.36075778834,87.2241685149386,"Eureka-Arcata-Fortuna, CA Micro ","Eureka-Arcata-F"
"8",36700,"sf_renter",759.476700710459,43.620642153828,"Eureka-Arcata-Fortuna, CA Micro ","Eureka-Arcata-F"
"9",37000,"mf_owner",93.0618537116328,45.7067794921043,"Merced, Modesto Metro PLUS","Merced, Modesto"
"10",37000,"mf_renter",2272.74543285127,1257.71709756017,"Merced, Modesto Metro PLUS","Merced, Modesto"
"11",37000,"sf_owner",12721.5788996723,7333.1169957487,"Merced, Modesto Metro PLUS","Merced, Modesto"
"12",37000,"sf_renter",6001.61381376477,3207.45912719903,"Merced, Modesto Metro PLUS","Merced, Modesto"
"13",37100,"mf_owner",72.187738202989,43.8381327472689,"Bakersfield, CA Metro ","Bakersfield, CA"
"14",37100,"mf_renter",2870.46914577098,1686.88637386236,"Bakersfield, CA Metro ","Bakersfield, CA"
"15",37100,"sf_owner",9803.08364612328,6815.09925491246,"Bakersfield, CA Metro ","Bakersfield, CA"
"16",37100,"sf_renter",4244.25946990274,2680.17623847791,"Bakersfield, CA Metro ","Bakersfield, CA"
"17",37200,"mf_owner",295.003099142738,182.909272214766,"Fresno, CA Metro PLUS","Fresno, CA Metr"
"18",37200,"mf_renter",8460.23505719627,5235.41050790694,"Fresno, CA Metro PLUS","Fresno, CA Metr"
"19",37200,"sf_owner",42746.4479252681,27142.9692138441,"Fresno, CA Metro PLUS","Fresno, CA Metr"
"20",37200,"sf_renter",20178.3139183929,12508.7110060342,"Fresno, CA Metro PLUS","Fresno, CA Metr"
"21",37300,"mf_owner",5.0281124497992,3.56947791164659,"Yuba City-Marysville, CA PLUS ","Yuba City-Marys"
"22",37300,"mf_renter",2121.14279825122,1583.0556490818,"Yuba City-Marysville, CA PLUS ","Yuba City-Marys"
"23",37300,"sf_owner",8415.18180099063,6098.92656379782,"Yuba City-Marysville, CA PLUS ","Yuba City-Marys"
"24",37300,"sf_renter",4122.64728830835,2928.44830920873,"Yuba City-Marysville, CA PLUS ","Yuba City-Marys"
"25",37400,"mf_owner",1065.55471974419,625.581787426619,"Sacramento--Arden-Arcade--Roseville, CA Metro ","Sacramento--Ard"
"26",37400,"mf_renter",22511.9879577978,12229.3817113359,"Sacramento--Arden-Arcade--Roseville, CA Metro ","Sacramento--Ard"
"27",37400,"sf_owner",83118.9187704593,49241.182559603,"Sacramento--Arden-Arcade--Roseville, CA Metro ","Sacramento--Ard"
"28",37400,"sf_renter",30590.5385519987,16550.8539416345,"Sacramento--Arden-Arcade--Roseville, CA Metro ","Sacramento--Ard"
"29",37500,"mf_owner",4335.05977317845,2529.60592418542,"San Jose-Sunnyvale-Santa Clara, CA Metro ","San Jose-Sunnyv"
"30",37500,"mf_renter",40078.7962970837,22615.3231042585,"San Jose-Sunnyvale-Santa Clara, CA Metro ","San Jose-Sunnyv"
"31",37500,"sf_owner",84932.5939407107,49102.1460492344,"San Jose-Sunnyvale-Santa Clara, CA Metro ","San Jose-Sunnyv"
"32",37500,"sf_renter",24924.5499890272,13994.9249223216,"San Jose-Sunnyvale-Santa Clara, CA Metro ","San Jose-Sunnyv"
"33",37700,"mf_owner",140.897544064662,62.8397642200188,"Santa Rosa-Petaluma, CA Metro ","Santa Rosa-Peta"
"34",37700,"mf_renter",2988.89894555343,1080.52017276856,"Santa Rosa-Petaluma, CA Metro ","Santa Rosa-Peta"
"35",37700,"sf_owner",12628.7718584921,5299.49500249479,"Santa Rosa-Petaluma, CA Metro ","Santa Rosa-Peta"
"36",37700,"sf_renter",5242.43165188977,2048.14506051662,"Santa Rosa-Petaluma, CA Metro ","Santa Rosa-Peta"
"37",37800,"mf_owner",12893.2291733526,8058.60649444281,"San Francisco-San Mateo-Redwood City, CA Metro Division","San Francisco-S"
"38",37800,"mf_renter",83932.017452455,48701.0295137505,"San Francisco-San Mateo-Redwood City, CA Metro Division","San Francisco-S"
