,czone,fcast_2014,fcast_2024,fcast_2034,name
1,36600,78080,88851,96940,"Redding, CA Met"
2,36700,50210,52639,53080,Eureka-Arcata-F
3,37000,242410,265639,282220,"Merced, Modesto"
4,37100,254871,274870,289449,"Bakersfield, CA"
5,37200,503049,581191,644792,"Fresno, CA Metr"
6,37300,131559,147840,162240,Yuba City-Marys
7,37400,1137839,1290049,1391049,Sacramento--Ard
8,37500,1219691,1388669,1513330,San Jose-Sunnyv
9,37700,236331,259690,272099,Santa Rosa-Peta
10,37800,2357998,2686221,2924489,San Francisco-S
11,38000,1346020,1507580,1628500,San Diego-Carls
12,38100,52390,62760,70930,"Yuma, AZ Metro "
13,38200,282789,313439,338569,"Santa Barbara, "
14,38300,7224639,8031741,8648650,Los Angeles-Lon
,CA Total,15117876,16951179,18316337,
,CA pct ch,0.108151946,0.07453226,,
