"","czone","fcast_2014","fcast_2024","fcast_2034"
"1",36501,26140,25560,24119
"2",36600,78080,88851,96940
"3",36700,50210,52639,53080
"4",36901,8220,8340,8130
"5",37000,242410,265639,282220
"6",37100,254871,274870,289449
"7",37200,503049,581191,644792
"8",37300,131559,147840,162240
"9",37400,1137839,1290049,1391049
"10",37500,1219691,1388669,1513330
"11",37603,6860,6340,5810
"12",37700,236331,259690,272099
"13",37800,2357998,2686221,2924489
"14",37903,14600,15290,15340
"15",38000,1346020,1507580,1628500
"16",38100,52390,62760,70930
"17",38200,282789,313439,338569
"18",38300,7224639,8031741,8648650
